source_index,target_index,distance_m,duration_s,waycategory
"[-75.3067767, 39.9500039]","[-75.1666744, 39.9529142]",13039.2,1407.0,"[[0, 300, 0]]"
"[-75.3067767, 39.9500039]","[-75.1547527, 39.9461843]",14385.9,1541.4,"[[0, 330, 0]]"
"[-75.3067767, 39.9500039]","[-75.1588087, 39.9519519]",15785.9,1516.0,"[[0, 224, 0], [224, 293, 1], [293, 320, 0]]"
"[-75.3067767, 39.9500039]","[-75.1555507, 39.9554634]",15555.8,1475.4,"[[0, 224, 0], [224, 293, 1], [293, 317, 0]]"
"[-75.3067767, 39.9500039]","[-75.1683452, 39.953861]",13298.0,1440.2,"[[0, 304, 0]]"
"[-75.3067767, 39.9500039]","[-75.1524421, 39.9486116]",14328.4,1595.9,"[[0, 311, 0]]"
"[-75.3067767, 39.9500039]","[-75.1696579, 39.9671376]",14568.0,1379.1,"[[0, 293, 0]]"
"[-75.3067767, 39.9500039]","[-75.1687489, 39.9511026]",12755.8,1371.5,"[[0, 293, 0]]"
"[-75.3067767, 39.9500039]","[-75.1513737, 39.9499548]",14270.1,1562.5,"[[0, 311, 0]]"
"[-75.3067767, 39.9500039]","[-75.1658471, 39.9513517]",13306.3,1455.3,"[[0, 309, 0]]"
"[-75.3067767, 39.9500039]","[-75.1808705, 39.9496709]",12709.6,1353.5,"[[0, 261, 0]]"
"[-75.3067767, 39.9500039]","[-75.16993, 39.954012]",12841.8,1378.6,"[[0, 297, 0]]"
"[-75.3067767, 39.9500039]","[-75.1689145, 39.9534406]",12839.3,1382.5,"[[0, 298, 0]]"
"[-75.3067767, 39.9500039]","[-75.1621446, 39.9565208]",15053.6,1440.4,"[[0, 224, 0], [224, 293, 1], [293, 305, 0]]"
"[-75.3067767, 39.9500039]","[-75.1562587, 39.9526803]",15872.0,1537.0,"[[0, 224, 0], [224, 293, 1], [293, 322, 0]]"
"[-75.3067767, 39.9500039]","[-75.160496, 39.9495792]",13550.4,1480.2,"[[0, 302, 0]]"
"[-75.3067767, 39.9500039]","[-75.1596329, 39.9559719]",15203.1,1441.1,"[[0, 224, 0], [224, 293, 1], [293, 309, 0]]"
"[-75.3067767, 39.9500039]","[-75.1543343, 39.9547207]",15869.5,1530.2,"[[0, 224, 0], [224, 293, 1], [293, 322, 0]]"
"[-75.3067767, 39.9500039]","[-75.1512021, 39.9477973]",14453.7,1576.6,"[[0, 313, 0]]"
"[-75.3067767, 39.9500039]","[-75.1712732, 39.953202]",12623.0,1362.0,"[[0, 291, 0]]"
"[-75.3067767, 39.9500039]","[-75.1646384, 39.9505969]",13078.7,1406.8,"[[0, 295, 0]]"
"[-75.3067767, 39.9500039]","[-75.1553822, 39.9564976]",15917.3,1543.9,"[[0, 224, 0], [224, 293, 1], [293, 323, 0]]"
"[-75.3067767, 39.9500039]","[-75.1521691, 39.9498503]",14183.1,1549.9,"[[0, 309, 0]]"
"[-75.3067767, 39.9500039]","[-75.1655738, 39.9548474]",15059.1,1436.6,"[[0, 224, 0], [224, 293, 1], [293, 301, 0]]"
"[-75.3067767, 39.9500039]","[-75.1462398, 39.9534007]",16583.4,1567.9,"[[0, 224, 0], [224, 313, 1], [313, 330, 0]]"
"[-75.3067767, 39.9500039]","[-75.1669977, 39.9542162]",14839.1,1464.6,"[[0, 224, 0], [224, 287, 1], [287, 320, 0]]"
"[-75.3067767, 39.9500039]","[-75.1659027, 39.9549769]",15098.9,1446.2,"[[0, 224, 0], [224, 293, 1], [293, 302, 0]]"
"[-75.3067767, 39.9500039]","[-75.1691875, 39.9538357]",13358.4,1449.7,"[[0, 306, 0]]"
"[-75.3067767, 39.9500039]","[-75.168648, 39.9552849]",14745.5,1448.2,"[[0, 224, 0], [224, 287, 1], [287, 318, 0]]"
"[-75.3067767, 39.9500039]","[-75.1686976, 39.9550004]",14744.7,1448.1,"[[0, 224, 0], [224, 287, 1], [287, 318, 0]]"
"[-75.3067767, 39.9500039]","[-75.1666223, 39.951126]",12902.2,1387.1,"[[0, 294, 0]]"
"[-75.3067767, 39.9500039]","[-75.1658779, 39.9533135]",15174.7,1449.1,"[[0, 224, 0], [224, 293, 1], [293, 304, 0]]"
"[-75.3067767, 39.9500039]","[-75.1541314, 39.9549848]",15711.3,1492.2,"[[0, 224, 0], [224, 293, 1], [293, 320, 0]]"
"[-75.3067767, 39.9500039]","[-75.1548244, 39.9607]",16334.0,1567.3,"[[0, 332, 0]]"
"[-75.3067767, 39.9500039]","[-75.1729633, 39.9619508]",14442.0,1470.6,"[[0, 224, 0], [224, 287, 1], [287, 315, 0]]"
"[-75.3067767, 39.9500039]","[-75.1559444, 39.9539208]",15691.8,1512.6,"[[0, 224, 0], [224, 293, 1], [293, 320, 0]]"
"[-75.3067767, 39.9500039]","[-75.1669336, 39.9542882]",14843.1,1465.3,"[[0, 224, 0], [224, 287, 1], [287, 320, 0]]"
"[-75.3067767, 39.9500039]","[-75.1604697, 39.9560453]",15131.8,1435.9,"[[0, 224, 0], [224, 293, 1], [293, 308, 0]]"
"[-75.3067767, 39.9500039]","[-75.1675937, 39.9498476]",13290.5,1414.9,"[[0, 304, 0]]"
"[-75.3067767, 39.9500039]","[-75.1670679, 39.9458843]",13717.0,1442.8,"[[0, 280, 0]]"
"[-75.3067767, 39.9500039]","[-75.1552838, 39.9513696]",14021.8,1546.8,"[[0, 309, 0]]"
"[-75.3067767, 39.9500039]","[-75.1779185, 39.9527664]",12201.0,1298.7,"[[0, 287, 0]]"
"[-75.3067767, 39.9500039]","[-75.1797862, 39.9531685]",11758.9,1247.6,"[[0, 278, 0]]"
"[-75.3067767, 39.9500039]","[-75.1544702, 39.9614844]",16241.0,1545.0,"[[0, 329, 0]]"
"[-75.3067767, 39.9500039]","[-75.1655897, 39.9673357]",14914.2,1410.3,"[[0, 300, 0]]"
"[-75.3067767, 39.9500039]","[-75.16608, 39.9510606]",12948.9,1391.9,"[[0, 294, 0]]"
"[-75.3067767, 39.9500039]","[-75.1664209, 39.9503433]",13128.3,1421.3,"[[0, 297, 0]]"
"[-75.3067767, 39.9500039]","[-75.1561177, 39.9487839]",14371.0,1551.5,"[[0, 329, 0]]"
"[-75.3067767, 39.9500039]","[-75.1595695, 39.950964]",13734.2,1507.8,"[[0, 303, 0]]"
"[-75.3067767, 39.9500039]","[-75.1498611, 39.9520642]",16417.5,1532.0,"[[0, 224, 0], [224, 313, 1], [313, 320, 0]]"
"[-75.3069002, 39.9507614]","[-75.1666744, 39.9529142]",12933.2,1389.6,"[[0, 299, 0]]"
