source_index,target_index,distance_m,duration_s,waycategory
"[-75.1978355, 40.0456432]","[-75.1666744, 39.9529142]",13633.6,1422.9,"[[0, 257, 0]]"
"[-75.1978355, 40.0456432]","[-75.1547527, 39.9461843]",13657.8,1497.8,"[[0, 274, 0]]"
"[-75.1978355, 40.0456432]","[-75.1588087, 39.9519519]",12824.7,1339.7,"[[0, 246, 0]]"
"[-75.1978355, 40.0456432]","[-75.1555507, 39.9554634]",12423.2,1298.6,"[[0, 238, 0]]"
"[-75.1978355, 40.0456432]","[-75.1683452, 39.953861]",13379.7,1388.7,"[[0, 253, 0]]"
"[-75.1978355, 40.0456432]","[-75.1524421, 39.9486116]",13764.4,1471.1,"[[0, 258, 0]]"
"[-75.1978355, 40.0456432]","[-75.1696579, 39.9671376]",10979.5,1181.4,"[[0, 190, 0]]"
"[-75.1978355, 40.0456432]","[-75.1687489, 39.9511026]",14920.2,1394.8,"[[0, 87, 0], [87, 228, 1], [228, 253, 0]]"
"[-75.1978355, 40.0456432]","[-75.1513737, 39.9499548]",13578.7,1430.2,"[[0, 256, 0]]"
"[-75.1978355, 40.0456432]","[-75.1658471, 39.9513517]",13349.7,1401.2,"[[0, 254, 0]]"
"[-75.1978355, 40.0456432]","[-75.1808705, 39.9496709]",14763.0,1424.5,"[[0, 87, 0], [87, 228, 1], [228, 256, 0]]"
"[-75.1978355, 40.0456432]","[-75.16993, 39.954012]",14665.0,1396.8,"[[0, 87, 0], [87, 228, 1], [228, 248, 0]]"
"[-75.1978355, 40.0456432]","[-75.1689145, 39.9534406]",14662.5,1400.7,"[[0, 87, 0], [87, 228, 1], [228, 249, 0]]"
"[-75.1978355, 40.0456432]","[-75.1621446, 39.9565208]",12651.6,1318.6,"[[0, 241, 0]]"
"[-75.1978355, 40.0456432]","[-75.1562587, 39.9526803]",12910.8,1360.7,"[[0, 248, 0]]"
"[-75.1978355, 40.0456432]","[-75.160496, 39.9495792]",12998.0,1369.3,"[[0, 252, 0]]"
"[-75.1978355, 40.0456432]","[-75.1596329, 39.9559719]",12378.9,1292.8,"[[0, 238, 0]]"
"[-75.1978355, 40.0456432]","[-75.1543343, 39.9547207]",12736.9,1353.5,"[[0, 243, 0]]"
"[-75.1978355, 40.0456432]","[-75.1512021, 39.9477973]",13731.4,1448.8,"[[0, 259, 0]]"
"[-75.1978355, 40.0456432]","[-75.1712732, 39.953202]",14470.9,1370.9,"[[0, 87, 0], [87, 228, 1], [228, 245, 0]]"
"[-75.1978355, 40.0456432]","[-75.1646384, 39.9505969]",13466.9,1415.9,"[[0, 255, 0]]"
"[-75.1978355, 40.0456432]","[-75.1553822, 39.9564976]",12784.7,1367.1,"[[0, 244, 0]]"
"[-75.1978355, 40.0456432]","[-75.1521691, 39.9498503]",13454.4,1429.6,"[[0, 267, 0]]"
"[-75.1978355, 40.0456432]","[-75.1655738, 39.9548474]",13041.0,1346.0,"[[0, 242, 0]]"
"[-75.1978355, 40.0456432]","[-75.1462398, 39.9534007]",13390.5,1408.6,"[[0, 260, 0]]"
"[-75.1978355, 40.0456432]","[-75.1669977, 39.9542162]",13406.4,1399.6,"[[0, 251, 0]]"
"[-75.1978355, 40.0456432]","[-75.1659027, 39.9549769]",13080.9,1355.5,"[[0, 243, 0]]"
"[-75.1978355, 40.0456432]","[-75.1691875, 39.9538357]",13440.1,1398.2,"[[0, 255, 0]]"
"[-75.1978355, 40.0456432]","[-75.168648, 39.9552849]",13312.8,1383.2,"[[0, 249, 0]]"
"[-75.1978355, 40.0456432]","[-75.1686976, 39.9550004]",13312.0,1383.2,"[[0, 249, 0]]"
"[-75.1978355, 40.0456432]","[-75.1666223, 39.951126]",15066.7,1410.3,"[[0, 87, 0], [87, 228, 1], [228, 254, 0]]"
"[-75.1978355, 40.0456432]","[-75.1658779, 39.9533135]",13156.7,1358.4,"[[0, 245, 0]]"
"[-75.1978355, 40.0456432]","[-75.1541314, 39.9549848]",12578.7,1315.5,"[[0, 241, 0]]"
