source_index,target_index,distance_m,duration_s,waycategory
"[-75.0822142, 40.0559739]","[-75.1666744, 39.9529142]",16389.8,1464.9,"[[0, 315, 0]]"
"[-75.0822142, 40.0559739]","[-75.1547527, 39.9461843]",15966.1,1464.4,"[[0, 276, 0]]"
"[-75.0822142, 40.0559739]","[-75.1588087, 39.9519519]",15580.9,1381.7,"[[0, 304, 0]]"
"[-75.0822142, 40.0559739]","[-75.1555507, 39.9554634]",15179.4,1340.6,"[[0, 296, 0]]"
"[-75.0822142, 40.0559739]","[-75.1683452, 39.953861]",16135.9,1430.7,"[[0, 311, 0]]"
"[-75.0822142, 40.0559739]","[-75.1524421, 39.9486116]",15521.7,1402.8,"[[0, 266, 0]]"
"[-75.0822142, 40.0559739]","[-75.1696579, 39.9671376]",14950.4,1339.4,"[[0, 283, 0]]"
"[-75.0822142, 40.0559739]","[-75.1687489, 39.9511026]",16444.4,1459.7,"[[0, 317, 0]]"
"[-75.0822142, 40.0559739]","[-75.1513737, 39.9499548]",15336.1,1361.9,"[[0, 264, 0]]"
"[-75.0822142, 40.0559739]","[-75.1658471, 39.9513517]",16105.9,1443.2,"[[0, 312, 0]]"
"[-75.0822142, 40.0559739]","[-75.1808705, 39.9496709]",17913.0,1647.6,"[[0, 345, 0]]"
"[-75.0822142, 40.0559739]","[-75.16993, 39.954012]",16707.3,1497.1,"[[0, 321, 0]]"
"[-75.0822142, 40.0559739]","[-75.1689145, 39.9534406]",16704.8,1501.0,"[[0, 322, 0]]"
"[-75.0822142, 40.0559739]","[-75.1621446, 39.9565208]",15407.9,1360.6,"[[0, 299, 0]]"
"[-75.0822142, 40.0559739]","[-75.1562587, 39.9526803]",15584.4,1383.3,"[[0, 274, 0]]"
"[-75.0822142, 40.0559739]","[-75.160496, 39.9495792]",15754.3,1411.3,"[[0, 310, 0]]"
"[-75.0822142, 40.0559739]","[-75.1596329, 39.9559719]",15135.1,1334.8,"[[0, 296, 0]]"
"[-75.0822142, 40.0559739]","[-75.1543343, 39.9547207]",15472.4,1377.0,"[[0, 270, 0]]"
"[-75.0822142, 40.0559739]","[-75.1512021, 39.9477973]",15488.7,1380.5,"[[0, 267, 0]]"
"[-75.0822142, 40.0559739]","[-75.1712732, 39.953202]",16540.6,1492.1,"[[0, 317, 0]]"
"[-75.0822142, 40.0559739]","[-75.1646384, 39.9505969]",16223.1,1457.9,"[[0, 313, 0]]"
"[-75.0822142, 40.0559739]","[-75.1553822, 39.9564976]",15540.9,1409.1,"[[0, 302, 0]]"
"[-75.0822142, 40.0559739]","[-75.1521691, 39.9498503]",15595.7,1411.3,"[[0, 270, 0]]"
"[-75.0822142, 40.0559739]","[-75.1655738, 39.9548474]",15797.3,1388.0,"[[0, 300, 0]]"
"[-75.0822142, 40.0559739]","[-75.1462398, 39.9534007]",15147.8,1340.3,"[[0, 268, 0]]"
"[-75.0822142, 40.0559739]","[-75.1669977, 39.9542162]",16162.6,1441.6,"[[0, 309, 0]]"
"[-75.0822142, 40.0559739]","[-75.1659027, 39.9549769]",15837.1,1397.5,"[[0, 301, 0]]"
"[-75.0822142, 40.0559739]","[-75.1691875, 39.9538357]",16196.3,1440.2,"[[0, 313, 0]]"
"[-75.0822142, 40.0559739]","[-75.168648, 39.9552849]",16069.0,1425.2,"[[0, 307, 0]]"
"[-75.0822142, 40.0559739]","[-75.1686976, 39.9550004]",16068.3,1425.2,"[[0, 307, 0]]"
"[-75.0822142, 40.0559739]","[-75.1666223, 39.951126]",16590.8,1475.3,"[[0, 318, 0]]"
"[-75.0822142, 40.0559739]","[-75.1658779, 39.9533135]",15912.9,1400.4,"[[0, 303, 0]]"
"[-75.0822142, 40.0559739]","[-75.1541314, 39.9549848]",15335.0,1357.5,"[[0, 299, 0]]"
"[-75.0822142, 40.0559739]","[-75.1548244, 39.9607]",14740.5,1290.5,"[[0, 279, 0]]"
"[-75.0822142, 40.0559739]","[-75.1729633, 39.9619508]",16050.4,1508.4,"[[0, 303, 0]]"
"[-75.0822142, 40.0559739]","[-75.1559444, 39.9539208]",15315.4,1377.8,"[[0, 299, 0]]"
"[-75.0822142, 40.0559739]","[-75.1669336, 39.9542882]",16166.7,1442.3,"[[0, 309, 0]]"
"[-75.0822142, 40.0559739]","[-75.1604697, 39.9560453]",15584.4,1367.0,"[[0, 299, 0]]"
"[-75.0822142, 40.0559739]","[-75.1675937, 39.9498476]",16446.6,1481.7,"[[0, 319, 0]]"
