Longitude,Latitude
-75.0822142,40.0559739
-75.0844217,40.0579073
-75.0812411,40.05632
-75.080106,40.0587237
-75.0793505,40.0560017
-75.0806206,40.0584529
-75.0807555,40.0618611
-75.0783295,40.0592655
-75.0787552,40.0609134
-75.0828275,40.0574678
-75.0782657,40.0563522
-75.0794145,40.0585231
-75.0823154,40.0621535
-75.0542044,40.0408115
-75.0798163,40.0583539
-75.0831411,40.058361
-75.0806035,40.0650436
-75.0799957,40.0552824
-75.0824254,40.054389
-75.0804469,40.0612256
-75.0828759,40.0574649
-75.082531,40.0576546
-75.0779532,40.0597749
-75.0810193,40.0557438
-75.0792137,40.05983
-75.0892921,40.0564547
-75.0831295,40.0592102
-75.0819789,40.0540683
-75.0811398,40.0555943
-75.0804888,40.0554622
-75.0818736,40.0563348
-75.0845263,40.0550509
-75.0930557,40.058221
-75.0718967,40.0569944
-75.0792725,40.0610275
-75.0812381,40.0631833
-75.0835158,40.0588858
-75.0811263,40.0542405
-75.0822227,40.0622701
-75.0796177,40.0608154
-75.0826345,40.0598365
-75.0820731,40.0566396
-75.0824158,40.0593722
-75.0824357,40.0565933
-75.065916,40.0536039
-75.0868852,40.0563059
-75.0801455,40.0535456
-75.0836428,40.0587076
-75.0845117,40.0599178
-75.0776523,40.0567995
