Longitude,Latitude
-75.1666744,39.9529142
-75.1547527,39.9461843
-75.1588087,39.9519519
-75.1555507,39.9554634
-75.1683452,39.953861
-75.1524421,39.9486116
-75.1696579,39.9671376
-75.1687489,39.9511026
-75.1513737,39.9499548
-75.1658471,39.9513517
-75.1808705,39.9496709
-75.16993,39.954012
-75.1689145,39.9534406
-75.1621446,39.9565208
-75.1562587,39.9526803
-75.160496,39.9495792
-75.1596329,39.9559719
-75.1543343,39.9547207
-75.1512021,39.9477973
-75.1712732,39.953202
-75.1646384,39.9505969
-75.1553822,39.9564976
-75.1521691,39.9498503
-75.1655738,39.9548474
-75.1462398,39.9534007
-75.1669977,39.9542162
-75.1659027,39.9549769
-75.1691875,39.9538357
-75.168648,39.9552849
-75.1686976,39.9550004
-75.1666223,39.951126
-75.1658779,39.9533135
-75.1541314,39.9549848
-75.1548244,39.9607
-75.1729633,39.9619508
-75.1559444,39.9539208
-75.1669336,39.9542882
-75.1604697,39.9560453
-75.1675937,39.9498476
-75.1670679,39.9458843
-75.1552838,39.9513696
-75.1779185,39.9527664
-75.1797862,39.9531685
-75.1544702,39.9614844
-75.1655897,39.9673357
-75.16608,39.9510606
-75.1664209,39.9503433
-75.1561177,39.9487839
-75.1595695,39.950964
-75.1498611,39.9520642
