0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1925,2095,2133,1973,1989,2025,1915,1895,1979,1956,1771,1912,1877,1845,2021,2167,1891,1960,2014,1836,2085,2057,2054,1859,2130,1999,1930,1996,1973,1973,1934,1891,1969,2036,1860,2010,2000,1878,2053,1984,1991,1632,1599,2045,1976,1951,2037,2122,2077,1924
1894,2063,2102,1941,1957,1993,1883,1863,1948,1924,1740,1881,1845,1814,1989,2135,1859,1929,1983,1804,2053,2026,2022,1828,2099,1968,1899,1965,1942,1941,1903,1859,1938,2005,1828,2048,1969,1846,2021,1953,1960,1601,1568,2013,1944,1919,2006,2091,2046,1893
1902,2071,2109,1949,1965,2001,1891,1871,1955,1932,1748,1889,1853,1822,1997,2143,1867,1937,1990,1812,2061,2034,2030,1836,2107,1976,1907,1973,1949,1949,1911,1867,1945,2012,1836,1987,1976,1854,2029,1961,1967,1609,1575,2021,1952,1927,2014,2099,2054,1901
1886,2055,2094,1933,1950,1985,1875,1856,1940,1916,1732,1873,1837,1806,1982,2127,1851,1921,1975,1796,2045,2018,2014,1820,2091,1960,1891,1957,1934,1933,1895,1851,1930,1997,1820,1971,1961,1838,2013,1945,1952,1593,1560,2005,1936,1911,1998,2083,2038,1885
1906,2075,2113,1953,1969,2005,1895,1875,1959,1936,1752,1893,1857,1826,2001,2147,1871,1941,1994,1816,2065,2038,2034,1840,2111,1980,1911,1977,1953,1953,1915,1871,1949,1980,1840,1991,1980,1858,2033,1965,1972,1613,1579,2025,1956,1931,2018,2103,2058,1905
1891,2061,2099,1939,1955,1990,1880,1861,1945,1922,1737,1878,1842,1811,1987,2132,1857,1926,1980,1801,2050,2023,2019,1825,2096,1965,1896,1962,1939,1939,1900,1856,1935,2002,1825,2046,1966,1843,2018,1950,1957,1598,1565,2010,1941,1916,2003,2088,2043,1890
1880,2050,2088,1928,1944,1980,1870,1850,1934,1911,1727,1867,1832,1800,1976,2122,1846,1915,1969,1791,2040,2013,2009,1815,2085,1954,1885,1951,1928,1928,1889,1846,1924,1991,1815,1966,1955,1833,2008,1940,1946,1588,1554,2000,1931,1906,1993,2077,2102,1880
1890,2060,2098,1938,1954,1990,1880,1860,1944,1921,1736,1877,1842,1810,1986,2132,1856,1925,1979,1801,2050,2023,2019,1825,2095,1964,1895,1961,1938,1938,1899,1856,1934,2001,1825,2045,1965,1843,2018,1950,1956,1598,1564,2010,1941,1916,2003,2087,2043,1889
1910,2080,2118,1958,1974,2010,1900,1880,1964,1941,1757,1897,1862,1830,2006,2152,1876,1945,1999,1821,2070,2043,2039,1845,2115,1984,1915,1981,1958,1958,1919,1876,1954,1984,1845,1996,1985,1863,2038,1970,1976,1618,1584,2030,1961,1936,2023,2107,2063,1910
1925,2095,2133,1973,1989,2025,1915,1895,1979,1956,1771,1912,1877,1845,2021,2167,1891,1960,2014,1836,2085,2057,2054,1859,2130,1999,1930,1996,1973,1973,1934,1891,1969,2036,1860,2010,2000,1878,2053,1984,1991,1632,1599,2045,1976,1951,2037,2122,2078,1924
1875,2045,2083,1923,1939,1975,1865,1845,1929,1906,1721,1862,1827,1795,1971,2117,1841,1910,1964,1786,2035,2007,2004,1809,2080,1949,1880,1946,1923,1923,1884,1841,1919,2014,1810,1960,1950,1828,2003,1934,1941,1582,1549,1995,1926,1901,1987,2072,2097,1874
1878,2048,2086,1926,1942,1977,1867,1848,1932,1909,1724,1865,1829,1798,1974,2119,1843,1913,1967,1788,2037,2010,2006,1812,2083,1952,1883,1949,1926,1925,1887,1843,1922,1989,1812,2033,1953,1830,2005,1937,1944,1585,1552,1997,1928,1903,1990,2075,2100,1877
1922,2092,2130,1970,1986,2022,1912,1892,1976,1953,1768,1909,1874,1842,2018,2164,1888,1957,2011,1833,2082,2055,2051,1856,2127,1996,1927,1993,1970,1970,1931,1888,1966,1996,1857,2007,1997,1875,2050,1982,1988,1630,1596,2042,1973,1948,2034,2119,2075,1921
1885,2055,2093,1933,1949,1984,1874,1855,1939,1916,1731,1872,1837,1805,1981,2126,1851,1920,1974,1796,2045,2017,2014,1819,2090,1959,1890,1956,1933,1933,1894,1851,1929,1996,1820,2040,1960,1838,2013,1944,1951,1592,1559,2005,1936,1911,1997,2082,2037,1884
1908,2077,2116,1955,1972,2007,1897,1878,1962,1938,1754,1895,1859,1828,2004,2149,1873,1943,1997,1818,2067,2040,2036,1842,2113,1982,1913,1979,1956,1955,1917,1873,1952,1982,1842,1993,1983,1860,2035,1967,1974,1615,1582,2027,1958,1933,2020,2105,2060,1907
1902,2071,2110,1949,1965,2001,1891,1871,1956,1932,1748,1889,1853,1822,1997,2143,1867,1937,1990,1812,2061,2034,2030,1836,2107,1976,1907,1973,1950,1949,1911,1867,1945,1976,1836,1987,1977,1854,2029,1961,1968,1609,1575,2021,1952,1927,2014,2099,2054,1901
1924,2094,2132,1972,1988,2023,1913,1894,1978,1955,1770,1911,1875,1844,2020,2165,1890,1959,2013,1835,2083,2056,2052,1858,2129,1998,1929,1995,1972,1972,1933,1889,1968,1998,1859,2009,1999,1877,2052,1983,1990,1631,1598,2044,1974,1949,2036,2121,2076,1923
1894,2064,2102,1942,1958,1993,1883,1864,1948,1925,1740,1881,1845,1814,1990,2135,1860,1929,1983,1805,2053,2026,2022,1828,2099,1968,1899,1965,1942,1942,1903,1859,1938,1968,1829,1979,1969,1847,2022,1953,1960,1601,1568,2014,1944,1919,2006,2091,2046,1893
1870,2039,2078,1917,1933,1969,1859,1839,1924,1900,1716,1857,1821,1790,1965,2111,1835,1905,1958,1780,2029,2002,1998,1804,2075,1944,1875,1941,1918,1917,1879,1835,1913,1981,1804,1955,1945,1822,1997,1929,1936,1577,1543,1989,1920,1895,1982,2067,2092,1869
1908,2078,2116,1956,1972,2008,1898,1878,1962,1939,1755,1896,1860,1828,2004,2150,1874,1943,1997,1819,2068,2041,2037,1843,2113,1982,1913,1979,1956,1956,1917,1874,1952,1982,1843,1994,1983,1861,2036,1968,1974,1616,1582,2028,1959,1934,2021,2105,2061,1908
1905,2074,2112,1952,1968,2004,1894,1874,1959,1935,1751,1892,1856,1825,2000,2146,1870,1940,1993,1815,2064,2037,2033,1839,2110,1979,1910,1976,1952,1952,1914,1870,1948,1979,1839,1990,1980,1857,2032,1964,1971,1612,1578,2024,1955,1930,2017,2102,2057,1904
