0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1449,1374,1325,1252,1380,1304,1215,1473,1259,1232,1262,1455,1430,1125,1301,1387,1170,1240,1294,1389,1331,1337,1333,1139,1410,1379,1355,1391,1353,1353,1523,1170,1285,1344,1243,1290,1380,1157,1369,1683,1271,1145,1202,1324,1276,1540,1304,1402,1357,1204
1443,1535,1486,1413,1373,1464,1375,1466,1419,1392,1422,1448,1423,1285,1461,1547,1331,1400,1454,1382,1491,1497,1494,1299,1570,1373,1317,1390,1347,1347,1517,1331,1409,1714,1404,1450,1374,1318,1529,1620,1431,1306,1362,1694,1436,1533,1464,1562,1517,1364
1484,1409,1360,1287,1414,1339,1250,1508,1293,1267,1296,1489,1464,1159,1335,1422,1205,1274,1328,1423,1366,1372,1368,1174,1444,1414,1390,1425,1388,1388,1558,1205,1320,1378,1278,1325,1415,1192,1403,1717,1305,1180,1236,1359,1311,1574,1338,1436,1392,1239
1318,1410,1361,1288,1248,1339,1250,1341,1294,1267,1297,1323,1298,1160,1336,1422,1206,1275,1329,1257,1366,1372,1368,1174,1445,1248,1192,1265,1222,1221,1392,1205,1320,1589,1279,1325,1249,1193,1404,1495,1306,1181,1237,1569,1311,1408,1339,1437,1392,1239
1408,1500,1451,1378,1339,1430,1341,1432,1384,1358,1387,1414,1389,1251,1426,1513,1296,1365,1419,1348,1457,1463,1459,1265,1536,1338,1283,1356,1312,1312,1482,1296,1411,1679,1369,1416,1339,1283,1494,1586,1396,1271,1327,1660,1402,1499,1430,1527,1483,1330
1472,1397,1348,1275,1402,1326,1238,1495,1281,1255,1284,1477,1452,1147,1323,1409,1193,1262,1316,1411,1354,1359,1356,1161,1432,1402,1377,1413,1376,1375,1546,1193,1308,1366,1266,1312,1403,1180,1391,1705,1293,1168,1224,1347,1299,1562,1326,1424,1379,1226
1481,1406,1357,1284,1412,1336,1247,1505,1291,1264,1294,1486,1462,1157,1332,1419,1202,1272,1326,1421,1363,1369,1365,1171,1442,1411,1387,1423,1385,1385,1555,1202,1317,1376,1275,1322,1412,1189,1401,1715,1303,1177,1234,1356,1308,1572,1336,1434,1389,1236
1230,1322,1273,1200,1160,1252,1163,1254,1206,1180,1209,1235,1210,1072,1248,1334,1118,1187,1241,1170,1279,1284,1281,1086,1357,1160,1104,1177,1134,1134,1304,1118,1196,1263,1352,1237,1161,1105,1316,1407,1218,1093,1149,1272,1224,1320,1251,1349,1305,1151
1408,1500,1451,1378,1338,1429,1340,1431,1384,1357,1387,1413,1388,1250,1426,1512,1296,1365,1419,1347,1456,1462,1459,1264,1535,1338,1282,1355,1312,1312,1482,1296,1410,1679,1369,1415,1339,1283,1494,1585,1396,1271,1327,1659,1401,1498,1429,1527,1482,1329
1219,1311,1262,1189,1150,1241,1152,1243,1195,1169,1198,1225,1200,1062,1237,1324,1107,1176,1230,1159,1268,1274,1270,1076,1347,1149,1094,1167,1123,1123,1293,1107,1222,1490,1180,1227,1150,1094,1305,1397,1207,1082,1138,1471,1213,1310,1241,1338,1294,1141
