0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1901,2146,2109,2024,1965,2075,1916,1895,2030,1956,1771,1877,1852,1896,2072,2167,1942,1960,2065,1811,2085,2108,2105,1910,2130,1981,1956,1972,1954,1954,1934,1942,1969,2036,1927,2061,1981,1929,2053,1984,2042,1632,1599,2096,1977,1951,2037,2122,2128,1975
1869,2114,2077,1992,1933,2044,1884,1863,1999,1924,1740,1846,1821,1865,1989,2135,1910,1929,2033,1780,2053,2077,2073,1879,2150,1949,1925,1940,1923,1923,1903,1910,1938,2033,1896,2030,1950,1897,2021,1953,2011,1601,1568,2064,1945,1919,2006,2091,2097,1944
1877,2122,2085,2000,1941,2052,1892,1871,2006,1932,1748,1853,1829,1872,1997,2143,1918,1937,2041,1788,2061,2085,2081,1887,2157,1957,1933,1948,1931,1931,1911,1918,1945,2040,1903,2038,1958,1905,2029,1961,2018,1609,1575,2072,1953,1927,2014,2099,2105,1952
1861,2106,2069,1984,1925,2036,1876,1856,1991,1916,1732,1838,1813,1857,2032,2127,1902,1921,2025,1772,2045,2069,2065,1871,2091,1941,1917,1932,1915,1915,1895,1902,1930,1997,1888,2022,1942,1889,2013,1945,2003,1593,1560,2056,1938,1911,1998,2083,2089,1936
1881,2126,2089,2004,1945,2056,1896,1875,2010,1936,1752,1857,1833,1876,2052,2147,1922,1941,2045,1792,2065,2089,2085,1891,2111,1961,1937,1952,1935,1935,1915,1922,1949,2045,1907,2042,1962,1909,2033,1965,2022,1613,1579,2076,1957,1931,2018,2103,2109,1956
1867,2111,2074,1990,1930,2041,1882,1861,1996,1922,1737,1843,1818,1862,1987,2132,1907,1926,2031,1777,2050,2074,2070,1876,2147,1946,1922,1937,1920,1920,1900,1907,1935,2030,1893,2027,1947,1894,2018,1950,2008,1598,1565,2061,1943,1916,2003,2088,2094,1941
1856,2101,2064,1979,1920,2031,1871,1850,1985,1911,1727,1832,1807,1851,2027,2122,1897,1915,2020,1767,2040,2013,2060,1866,2085,1936,1911,1927,1910,1909,1889,1897,1924,1991,1882,2016,1937,1884,2008,1940,1997,1588,1554,2051,1932,1906,1993,2077,2084,1930
1866,2111,2074,1989,1930,2041,1881,1860,1995,1921,1736,1842,1817,1861,1986,2132,1907,1925,2030,1776,2050,2074,2070,1875,2146,1946,1921,1937,1920,1919,1899,1907,1934,2029,1892,2026,1947,1894,2018,1950,2007,1598,1564,2061,1942,1916,2003,2087,2094,1940
1886,2131,2094,2009,1950,2061,1901,1880,2015,1941,1757,1862,1837,1881,2057,2152,1927,1945,2050,1797,2070,2094,2090,1896,2115,1966,1941,1957,1940,1939,1919,1927,1954,2049,1912,2046,1967,1914,2038,1970,2027,1618,1584,2081,1962,1936,2023,2107,2114,1960
1901,2146,2109,2024,1965,2075,1916,1895,2030,1956,1771,1877,1852,1896,2072,2167,1942,1960,2065,1811,2085,2108,2105,1910,2130,1981,1956,1972,1954,1954,1934,1942,1969,2036,1927,2061,1981,1929,2053,1984,2042,1632,1599,2096,1977,1951,2037,2122,2128,1975
1851,2096,2059,1974,1914,2025,1963,1845,1980,1906,1721,1827,1802,1846,1971,2117,1892,1910,2015,1761,2035,2007,2055,1860,2131,1931,1906,1922,1904,1904,1884,1892,1919,2014,1877,2011,1931,1879,2003,1934,1992,1582,1549,2046,2024,1901,1987,2123,2078,1925
1853,2098,2061,1976,1917,2028,1869,1848,1983,1909,1724,1830,1805,1849,1974,2119,1894,1913,2018,1764,2037,2061,2057,1863,2134,1933,1909,1924,1907,1907,1887,1894,1922,2017,1880,2014,1934,1881,2005,1937,1995,1585,1552,2048,2026,1903,1990,2075,2081,1928
1898,2143,2106,2021,1962,2072,1913,1892,2027,1953,1768,1874,1849,1893,2069,2164,1939,1957,2062,1808,2082,2105,2102,1907,2127,1978,1953,1969,1951,1951,1931,1939,1966,2061,1924,2058,1979,1926,2050,1982,2039,1630,1596,2093,1974,1948,2034,2119,2125,1921
1861,2106,2068,1984,1924,2035,1876,1855,1990,1916,1731,1837,1812,1856,1981,2126,1902,1920,2025,1771,2045,2068,2064,1870,2141,1940,1916,1932,1914,1914,1894,1901,1929,2024,1887,2021,1941,1889,2013,1944,2002,1592,1559,2055,1937,1911,1997,2082,2088,1935
1883,2128,2091,2006,1947,2058,1899,1878,2013,1938,1754,1860,1835,1879,2054,2149,1924,1943,2047,1794,2067,2091,2087,1893,2113,1963,1939,1954,1937,1937,1917,1924,1952,2047,1910,2044,1964,1911,2035,1967,2025,1615,1582,2078,1960,1933,2020,2105,2111,1958
1877,2122,2085,2000,1941,2052,1892,1871,2007,1932,1748,1854,1829,1873,2048,2143,1918,1937,2041,1788,2061,2085,2081,1887,2107,1957,1933,1948,1931,1931,1911,1918,1945,2041,1904,2038,1958,1905,2029,1961,2019,1609,1575,2072,1953,1927,2014,2099,2105,1952
