0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1282,1374,1325,1252,1213,1304,1215,1306,1259,1232,1262,1288,1263,1125,1301,1387,1170,1240,1294,1222,1331,1337,1333,1139,1410,1213,1157,1230,1187,1186,1357,1170,1249,1316,1171,1290,1214,1157,1369,1460,1271,1145,1202,1324,1276,1373,1304,1402,1357,1204
1443,1535,1486,1413,1373,1464,1375,1466,1419,1392,1422,1448,1423,1285,1461,1547,1331,1400,1454,1382,1491,1497,1494,1299,1570,1373,1317,1390,1347,1347,1517,1331,1409,1504,1331,1450,1374,1318,1529,1620,1431,1306,1362,1485,1436,1533,1464,1562,1517,1364
1317,1409,1360,1287,1248,1339,1250,1341,1293,1267,1296,1322,1298,1159,1335,1422,1205,1274,1328,1257,1366,1372,1368,1174,1491,1247,1191,1265,1221,1221,1391,1205,1283,1378,1205,1325,1248,1192,1403,1495,1305,1180,1236,1359,1311,1408,1338,1436,1392,1239
1318,1410,1361,1288,1248,1339,1250,1341,1294,1267,1297,1323,1298,1160,1336,1422,1206,1275,1329,1257,1366,1372,1368,1174,1445,1248,1192,1265,1222,1221,1392,1205,1284,1379,1206,1325,1249,1193,1404,1495,1306,1181,1237,1359,1311,1408,1339,1437,1392,1239
1408,1500,1451,1378,1339,1430,1341,1432,1384,1358,1387,1414,1389,1251,1426,1513,1296,1365,1419,1348,1457,1463,1459,1265,1536,1338,1283,1356,1312,1312,1482,1296,1374,1441,1296,1416,1339,1283,1494,1586,1396,1271,1327,1450,1402,1499,1430,1527,1483,1330
1305,1397,1348,1275,1235,1326,1238,1329,1281,1255,1284,1310,1285,1147,1323,1409,1193,1262,1316,1244,1354,1359,1356,1161,1432,1235,1179,1252,1209,1209,1379,1193,1271,1366,1193,1312,1236,1180,1391,1482,1293,1168,1224,1347,1299,1395,1326,1424,1379,1226
1314,1406,1357,1284,1245,1336,1247,1338,1291,1264,1294,1320,1295,1157,1332,1419,1202,1272,1326,1254,1363,1369,1365,1171,1442,1245,1189,1262,1218,1218,1389,1202,1281,1376,1202,1322,1246,1189,1401,1492,1303,1177,1234,1356,1308,1405,1336,1434,1389,1236
1230,1322,1273,1200,1160,1252,1163,1254,1206,1180,1209,1235,1210,1072,1248,1334,1118,1187,1241,1170,1279,1284,1281,1086,1357,1160,1104,1177,1134,1134,1304,1118,1196,1263,1118,1237,1161,1105,1316,1407,1218,1093,1149,1272,1224,1320,1251,1349,1305,1151
1408,1500,1451,1378,1338,1429,1340,1431,1384,1357,1387,1413,1388,1250,1426,1512,1296,1365,1419,1347,1456,1462,1459,1264,1535,1338,1282,1355,1312,1312,1482,1296,1374,1441,1296,1415,1339,1283,1494,1585,1396,1271,1327,1450,1401,1498,1429,1527,1482,1329
1219,1311,1262,1189,1150,1241,1152,1243,1195,1169,1198,1225,1200,1062,1237,1324,1107,1176,1230,1159,1268,1274,1270,1076,1393,1149,1094,1167,1123,1123,1293,1107,1185,1280,1107,1227,1150,1094,1305,1397,1207,1082,1138,1261,1213,1310,1241,1338,1294,1141
1290,1382,1333,1260,1220,1312,1223,1314,1266,1240,1269,1295,1270,1132,1308,1395,1178,1247,1301,1230,1339,1345,1341,1146,1463,1220,1164,1238,1194,1194,1364,1178,1256,1323,1178,1297,1221,1165,1376,1467,1278,1153,1209,1332,1284,1381,1311,1409,1365,1211
1310,1402,1353,1280,1241,1332,1243,1334,1287,1260,1290,1316,1291,1153,1328,1415,1198,1268,1321,1250,1359,1365,1361,1167,1438,1241,1185,1258,1214,1214,1384,1198,1276,1344,1198,1318,1242,1185,1397,1488,1299,1173,1230,1352,1304,1401,1332,1430,1385,1232
