0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1789,1832,1778,1657,1719,1703,1837,1813,1658,1729,1881,1883,1858,1624,1738,1875,1667,1719,1692,1817,1828,1817,1780,1636,1640,1756,1653,1727,1742,1742,1863,1667,1690,1603,1701,1692,1757,1654,1865,2022,1707,1765,1821,1628,1796,1879,1800,1830,1845,1603
1820,1845,1810,1689,1751,1735,1869,1844,1689,1760,1855,1881,1856,1656,1769,1906,1699,1733,1724,1815,1859,1830,1775,1667,1671,1788,1685,1758,1774,1774,1894,1698,1722,1635,1733,1723,1789,1686,1897,2053,1738,1739,1795,1659,1914,1911,1832,1862,1876,1634
1759,1784,1748,1628,1690,1673,1807,1783,1628,1699,1862,1853,1828,1595,1708,1845,1637,1672,1663,1787,1798,1769,1714,1606,1610,1727,1624,1697,1712,1712,1833,1637,1660,1574,1671,1662,1728,1624,1835,1993,1677,1746,1802,1598,1767,1850,1771,1801,1815,1573
1735,1760,1724,1603,1665,1649,1783,1759,1604,1675,1882,1829,1804,1570,1684,1821,1613,1647,1639,1763,1774,1745,1690,1582,1586,1702,1599,1673,1688,1688,1809,1613,1636,1549,1647,1638,1703,1600,1811,1968,1653,1817,1818,1574,1742,1825,1746,1776,1791,1549
1752,1777,1741,1620,1682,1666,1800,1776,1621,1692,1889,1846,1821,1587,1701,1838,1630,1664,1656,1780,1791,1762,1707,1599,1603,1719,1616,1690,1705,1705,1826,1630,1653,1566,1664,1655,1720,1617,1828,1985,1670,1773,1835,1591,1759,1842,1763,1793,1808,1566
1749,1774,1738,1617,1679,1663,1797,1772,1618,1689,1896,1843,1818,1584,1698,1835,1627,1661,1652,1777,1788,1759,1703,1595,1599,1716,1613,1686,1702,1702,1823,1627,1650,1563,1661,1652,1717,1614,1825,1982,1667,1866,1832,1588,1756,1839,1760,1790,1805,1563
1790,1815,1780,1659,1721,1704,1839,1814,1659,1730,1932,1884,1859,1626,1739,1876,1668,1703,1694,1818,1829,1800,1745,1637,1641,1758,1655,1728,1744,1743,1864,1668,1691,1605,1702,1693,1759,1655,1867,2024,1708,1816,1872,1629,1798,1881,1802,1832,1846,1604
1736,1761,1725,1604,1666,1650,1784,1759,1605,1676,1915,1830,1805,1571,1685,1822,1614,1648,1639,1764,1775,1746,1690,1582,1586,1703,1600,1674,1689,1689,1810,1614,1637,1550,1648,1639,1704,1601,1812,1969,1654,1799,1819,1575,1743,1826,1747,1777,1792,1550
1767,1792,1757,1636,1698,1682,1816,1791,1636,1707,1915,1861,1836,1603,1716,1853,1646,1680,1671,1796,1806,1777,1722,1614,1618,1735,1632,1705,1721,1721,1841,1645,1669,1582,1680,1670,1736,1632,1844,2001,1685,1884,1851,1606,1775,1858,1779,1809,1823,1581
1762,1787,1751,1630,1692,1676,1810,1786,1631,1702,1884,1856,1831,1597,1711,1848,1640,1674,1666,1790,1801,1772,1717,1609,1613,1730,1626,1700,1715,1715,1836,1640,1663,1576,1674,1665,1730,1627,1838,1995,1680,1768,1824,1601,1769,1852,1773,1803,1818,1576
1746,1771,1735,1614,1676,1660,1794,1769,1614,1686,1893,1840,1815,1581,1695,1832,1624,1658,1649,1774,1785,1755,1700,1592,1596,1713,1610,1683,1699,1699,1820,1624,1647,1560,1658,1648,1714,1611,1822,1979,1664,1803,1829,1585,1753,1836,1757,1787,1802,1560
1702,1727,1692,1571,1633,1617,1751,1726,1571,1642,1850,1796,1772,1538,1652,1788,1581,1615,1606,1731,1741,1712,1657,1549,1553,1670,1567,1640,1656,1656,1777,1580,1604,1517,1615,1605,1671,1568,1779,1936,1620,1819,1786,1541,1710,1793,1714,1744,1758,1517
1818,1843,1808,1687,1749,1733,1867,1842,1687,1758,1969,1912,1888,1654,1768,1904,1697,1731,1722,1847,1857,1828,1810,1665,1669,1786,1683,1756,1772,1772,1893,1696,1720,1633,1731,1721,1787,1684,1895,2052,1736,1852,1902,1657,1826,1909,1830,1860,1874,1633
1364,1389,1353,1232,1294,1278,1412,1388,1233,1304,1511,1458,1433,1199,1313,1450,1242,1276,1267,1392,1403,1374,1318,1211,1215,1331,1228,1302,1317,1317,1438,1242,1265,1178,1276,1267,1332,1229,1440,1597,1282,1481,1447,1203,1371,1454,1375,1405,1420,1178
1740,1765,1729,1609,1671,1654,1789,1764,1609,1680,1887,1834,1809,1576,1689,1826,1618,1653,1644,1768,1779,1750,1695,1587,1591,1708,1605,1678,1694,1693,1814,1618,1641,1555,1652,1643,1709,1605,1817,1974,1658,1822,1824,1579,1748,1831,1752,1782,1796,1554
1816,1841,1806,1685,1747,1731,1865,1840,1685,1756,1964,1910,1885,1652,1765,1902,1694,1729,1720,1844,1855,1826,1771,1663,1667,1784,1681,1754,1770,1770,1890,1694,1718,1631,1729,1719,1785,1681,1893,2050,1734,1879,1900,1655,1824,1907,1828,1858,1872,1630
1941,1966,1930,1809,1871,1855,1989,1965,1810,1881,2044,2035,2010,1777,1890,2027,1819,1853,1845,1969,1980,1951,1896,1788,1792,1909,1805,1879,1894,1894,2015,1819,1842,1755,1853,1844,1909,1806,2017,2174,1859,1928,1984,1780,1948,2031,1952,1982,1997,1755
1750,1775,1740,1619,1681,1664,1799,1774,1619,1690,1883,1844,1819,1586,1699,1859,1628,1663,1654,1778,1789,1783,1705,1597,1601,1718,1615,1688,1704,1703,1824,1628,1651,1565,1662,1653,1719,1615,1827,1984,1668,1766,1823,1589,1758,1841,1762,1792,1806,1564
1759,1783,1748,1627,1689,1673,1807,1782,1627,1698,1822,1852,1828,1594,1708,1844,1637,1671,1662,1787,1797,1768,1713,1605,1609,1726,1623,1696,1712,1712,1833,1636,1660,1573,1671,1661,1727,1624,1835,1992,1676,1705,1762,1597,1766,1849,1770,1800,1814,1573
1798,1823,1787,1666,1728,1712,1846,1822,1667,1738,1979,1892,1867,1633,1747,1884,1676,1710,1702,1826,1837,1808,1753,1645,1649,1766,1662,1736,1751,1751,1872,1676,1699,1612,1710,1701,1766,1663,1874,2031,1716,1863,1881,1637,1805,1888,1809,1839,1854,1612
