,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,517.94,553.57,616.97,497.61,548.8,429.07,535.87,523.5,416.47,500.71,417.51,533.41,494.49,404.57,483.96,686.81,449.88,429.78,437.36,473.97,678.2,513.08,504.1,422.32,562.04,534.4,483.76,546.25,524.76,524.84,546.91,441.9,476.73,468.7,389.39,497.39,534.66,442.03,638.06,541.14,444.17,333.25,351.34,500.01,663.72,559.1,615.64,570.48,639.16,392.01
1,504.35,538.99,603.38,483.02,534.21,414.48,619.28,508.91,402.88,486.12,403.92,519.82,479.9,390.98,469.37,672.22,435.29,416.19,423.77,459.38,663.61,499.5,489.51,408.74,548.45,520.81,514.18,532.66,511.17,510.25,533.32,427.32,463.15,483.11,374.81,483.8,521.08,427.45,623.48,527.55,430.59,319.66,337.76,485.42,649.13,544.51,602.06,556.89,555.57,378.42
2,506.48,541.11,604.51,485.15,536.34,416.61,621.41,511.04,404.01,488.25,406.05,521.95,482.03,393.11,471.5,674.35,437.42,418.32,424.9,461.51,665.74,501.63,491.64,410.87,619.58,522.94,419.3,534.79,512.3,512.38,535.45,429.45,464.28,484.24,376.93,485.93,522.21,429.58,625.6,529.68,431.72,321.79,338.89,487.55,651.26,546.64,604.18,559.02,557.7,380.55
3,504.51,539.14,603.54,483.18,535.37,414.64,521.43,510.07,403.04,486.27,404.08,519.97,480.06,391.13,470.53,672.38,435.45,416.35,423.93,459.53,663.76,499.65,489.67,408.89,548.61,520.96,470.33,532.82,511.32,510.41,533.48,427.47,463.3,483.27,374.96,483.95,521.23,427.6,623.63,527.7,430.74,319.82,337.91,485.58,551.28,544.67,602.21,557.05,555.72,378.57
4,501.64,536.27,599.67,480.31,531.5,411.77,616.57,506.2,399.17,483.41,401.57,517.11,477.19,388.27,466.66,669.51,432.58,413.48,420.06,456.67,660.9,496.79,486.8,406.02,545.74,518.09,414.46,529.95,507.45,507.54,530.61,424.6,459.43,480.4,372.09,481.09,517.36,424.73,620.76,525.19,427.87,316.95,334.05,482.71,646.42,541.8,599.34,554.18,552.85,375.7
5,504.47,540.1,603.5,484.14,535.33,414.6,619.4,510.03,403.0,487.24,404.04,519.94,480.02,391.1,470.49,672.34,436.41,416.31,423.89,459.5,663.73,499.62,489.63,408.86,548.57,520.93,515.29,532.78,511.29,511.37,533.44,427.44,463.27,483.23,374.92,483.92,521.2,427.57,623.59,527.67,430.71,319.78,337.88,485.54,582.25,544.63,602.17,557.01,555.69,378.54
6,503.67,539.3,602.7,483.34,534.53,414.8,521.6,509.23,402.2,486.44,404.24,519.14,480.22,390.3,469.69,672.54,435.61,415.51,423.09,459.7,663.93,499.81,489.83,409.05,547.77,520.12,469.49,531.98,510.48,510.57,532.64,427.63,462.46,482.43,375.12,484.12,520.39,427.76,623.79,527.87,429.9,319.98,337.07,485.74,551.45,544.83,602.37,556.21,555.89,378.73
7,503.96,539.59,602.99,483.63,534.82,415.09,619.89,509.52,402.49,486.73,403.53,519.43,480.51,390.59,469.98,672.83,435.9,415.8,423.38,459.99,664.22,500.11,490.12,409.35,548.06,520.42,514.78,532.27,510.78,510.86,532.93,427.93,462.76,482.72,375.41,484.41,520.69,428.06,624.08,528.16,430.2,320.27,337.37,486.03,582.74,545.12,602.66,556.5,556.18,378.03
8,508.92,544.55,604.52,480.27,539.78,420.05,616.53,514.48,407.45,491.69,411.61,524.39,485.47,387.22,466.62,677.79,432.54,412.44,428.34,464.95,669.18,496.74,495.08,405.98,544.7,517.05,413.42,537.23,507.41,507.5,537.89,424.56,459.39,479.36,372.05,481.05,517.32,424.69,629.04,535.23,435.15,325.23,342.32,482.67,646.37,550.08,607.62,561.46,561.14,375.66
9,517.91,553.54,616.94,497.58,548.77,429.04,535.83,523.47,416.44,500.68,417.48,533.37,494.46,404.54,483.93,686.78,449.85,429.75,437.33,473.94,678.17,513.05,504.07,422.29,562.01,534.36,483.73,546.22,524.72,524.81,546.88,441.87,476.7,468.67,389.36,497.35,534.63,442.0,638.03,541.1,444.14,333.22,351.31,499.98,663.69,559.07,615.61,570.45,639.12,391.97
