,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,493.94,604.57,592.97,548.61,524.8,479.07,536.87,523.5,467.47,500.71,417.51,498.41,469.49,455.57,534.96,686.81,500.88,429.78,488.36,448.97,678.2,564.08,555.1,473.32,562.04,516.4,509.76,522.25,505.76,505.84,546.91,492.9,476.73,468.7,456.39,548.39,515.66,493.03,638.06,541.14,495.17,333.25,351.34,551.01,566.72,559.1,615.64,570.48,620.16,443.01
1,479.35,589.99,578.38,534.02,510.21,465.48,522.28,508.91,453.88,486.12,403.92,484.82,455.9,441.98,469.37,672.22,486.29,416.19,473.77,435.38,663.61,550.5,540.51,459.74,599.45,501.81,496.18,507.66,492.17,492.25,533.32,478.32,463.15,483.11,442.81,534.8,502.08,478.45,623.48,527.55,481.59,319.66,337.76,536.42,552.13,544.51,602.06,556.89,606.57,429.42
2,481.48,592.11,580.51,536.15,512.34,467.61,524.41,511.04,455.01,488.25,406.05,485.95,458.03,443.11,471.5,674.35,488.42,418.32,475.9,437.51,665.74,552.63,542.64,461.87,600.58,503.94,498.3,509.79,494.3,494.38,535.45,480.45,464.28,484.24,443.93,536.93,504.21,480.58,625.6,529.68,482.72,321.79,338.89,538.55,554.26,546.64,604.18,559.02,608.7,431.55
3,479.51,590.14,578.54,534.18,510.37,465.64,522.43,510.07,454.04,486.27,404.08,484.97,456.06,442.13,520.53,672.38,486.45,416.35,473.93,435.53,663.76,550.65,540.67,459.89,548.61,501.96,496.33,507.82,492.32,492.41,533.48,478.47,463.3,455.27,442.96,534.95,502.23,478.6,623.63,527.7,481.74,319.82,337.91,536.58,553.28,544.67,602.21,557.05,606.72,429.57
4,476.64,587.27,575.67,531.31,507.5,462.77,519.57,506.2,450.17,483.41,401.57,481.11,453.19,438.27,517.66,669.51,483.58,413.48,471.06,432.67,660.9,547.79,537.8,457.02,545.74,499.09,493.46,504.95,489.45,489.54,530.61,475.6,459.43,480.4,439.09,532.09,499.36,475.73,620.76,525.19,477.87,316.95,334.05,533.71,549.42,541.8,599.34,554.18,603.85,426.7
5,480.47,590.1,578.5,535.14,510.33,465.6,523.4,510.03,454.0,487.24,404.04,484.94,456.02,442.1,470.49,672.34,486.41,416.31,474.89,435.5,663.73,550.62,540.63,459.86,599.57,501.93,496.29,507.78,492.29,492.37,533.44,478.44,463.27,483.23,442.92,534.92,502.2,478.57,623.59,527.67,481.71,319.78,337.88,536.54,553.25,544.63,602.17,557.01,606.69,429.54
6,479.67,590.3,578.7,534.34,510.53,465.8,522.6,509.23,453.2,486.44,404.24,484.14,455.22,441.3,520.69,672.54,486.61,415.51,474.09,435.7,663.93,499.81,540.83,460.05,547.77,502.12,495.49,507.98,492.48,491.57,532.64,478.63,462.46,454.43,442.12,534.12,502.39,478.76,623.79,527.87,480.9,319.98,337.07,536.74,552.45,544.83,602.37,556.21,606.89,428.73
7,479.96,590.59,578.99,534.63,510.82,466.09,522.89,509.52,453.49,486.73,403.53,484.43,455.51,441.59,469.98,672.83,486.9,415.8,474.38,434.99,664.22,551.11,541.12,459.35,599.06,502.42,495.78,508.27,492.78,491.86,532.93,478.93,462.76,482.72,442.41,534.41,502.69,479.06,624.08,528.16,481.2,320.27,337.37,537.03,552.74,545.12,602.66,556.5,607.18,429.03
8,484.92,595.55,580.52,531.27,515.78,471.05,519.53,514.48,458.45,491.69,411.61,489.39,460.47,438.22,517.62,677.79,483.54,412.44,479.34,440.95,669.18,547.74,546.08,456.98,544.7,499.05,492.42,513.23,489.41,488.5,537.89,475.56,459.39,479.36,439.05,531.05,499.32,475.69,629.04,535.23,486.15,325.23,342.32,533.67,549.37,550.08,607.62,561.46,612.14,425.66
9,493.91,604.54,592.94,548.58,524.77,479.04,536.83,523.47,467.44,500.68,417.48,498.37,469.46,455.54,534.93,686.78,500.85,429.75,488.33,448.94,678.17,564.05,555.07,473.29,562.01,516.36,509.73,522.22,505.72,505.81,546.88,492.87,476.7,468.67,456.36,548.35,515.63,493.0,638.03,541.1,495.14,333.22,351.31,550.98,566.69,559.07,615.61,570.45,620.12,442.97
10,475.71,586.35,574.74,530.38,505.57,460.84,615.64,505.27,449.24,482.48,399.28,480.18,451.26,437.34,465.73,668.58,482.65,411.55,470.13,430.74,659.97,494.86,536.87,455.1,594.81,498.17,491.54,504.02,487.53,487.61,528.68,474.68,458.51,478.47,438.17,530.16,497.44,474.81,619.84,522.91,476.95,315.02,333.12,532.78,645.49,540.87,597.42,603.25,601.93,424.78
