,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-140.91,-123.76,-14.72,-46.63,-175.68,-167.12,33.56,-88.76,-171.19,-169.18,-162.49,-108.77,-137.69,-193.56,-59.73,17.69,-122.76,-113.45,-154.75,-148.91,-84.86,-30.15,-96.57,-206.96,1.44,-186.61,-198.53,-168.23,-196.25,-197.16,-53.34,-188.38,-66.5,95.51,-107.88,-45.85,-186.34,-167.98,-69.19,-42.27,-119.24,-162.63,-141.58,97.82,113.55,-42.16,-126.41,-79.14,4.25,-168.6
1,-148.82,-129.64,-22.63,-54.54,-184.59,-139.07,24.65,-97.67,-143.15,-178.09,-171.4,-117.68,-146.6,-202.47,-68.64,8.78,-130.67,-122.36,-126.71,-157.82,-93.77,-39.06,-104.48,-215.87,29.48,-195.52,-207.44,-177.15,-205.16,-205.07,-62.26,-196.29,-38.41,58.6,-115.79,-54.76,-195.25,-175.89,-78.1,-51.18,-128.15,-170.54,-150.49,89.91,104.64,-51.07,-135.32,-86.02,-4.66,-140.55
2,-164.83,-147.69,-38.65,-70.55,-199.61,-191.04,9.63,-112.68,-196.12,-193.1,-187.42,-133.7,-161.61,-218.49,-84.66,-6.24,-146.69,-138.38,-179.68,-172.84,-108.79,-54.07,-120.5,-230.89,-23.49,-211.53,-223.45,-192.16,-221.17,-221.09,-78.27,-212.31,-54.43,70.58,-131.81,-69.77,-211.26,-191.9,-94.12,-66.2,-144.17,-186.56,-166.5,73.89,89.62,-66.08,-151.34,-104.07,-19.68,-192.52
3,-199.79,-182.64,-73.6,-105.51,-235.56,-214.49,-26.32,-148.64,-218.57,-229.06,-222.37,-168.65,-197.57,-253.44,-119.61,-42.19,-181.64,-173.33,-202.13,-208.79,-144.74,-90.03,-156.45,-266.84,-45.94,-246.48,-258.41,-228.11,-256.13,-257.04,-113.22,-248.26,-90.38,35.63,-166.76,-105.73,-246.22,-226.86,-129.07,-102.15,-179.12,-221.51,-201.45,37.94,53.67,-102.04,-186.29,-139.02,-55.63,-215.97
4,-103.84,-61.63,22.35,-9.56,-138.61,-70.07,70.63,-51.69,-75.15,-132.11,-126.42,-71.7,-100.62,-156.5,-23.67,54.76,-85.69,-77.38,-58.71,-111.84,-47.79,6.92,-49.55,-169.9,98.48,-150.54,-161.46,-131.17,-160.18,-160.09,-17.28,-151.31,-30.43,103.58,-70.81,-8.78,-150.27,-130.91,-33.12,-5.2,-83.17,-125.56,-105.51,134.89,150.62,-5.09,-89.34,-18.02,41.32,-71.55
5,-138.4,-121.26,-12.22,-44.12,-174.18,-165.62,36.06,-86.26,-169.69,-166.68,-160.99,-107.27,-136.19,-192.06,-58.23,19.19,-120.26,-111.95,-153.25,-147.41,-82.36,-28.65,-94.07,-205.46,2.94,-185.1,-197.02,-166.73,-194.74,-194.66,-51.84,-185.88,-65.0,97.01,-105.38,-44.34,-184.83,-165.47,-67.69,-40.77,-117.74,-160.13,-140.07,100.32,116.05,-40.66,-124.91,-77.64,5.75,-167.1
6,-144.07,-126.92,-17.88,-49.79,-178.84,-170.28,30.4,-91.92,-174.35,-172.34,-165.65,-111.93,-140.85,-196.72,-63.89,14.53,-125.92,-116.61,-157.91,-152.07,-88.02,-33.31,-99.73,-210.12,-1.72,-189.77,-201.69,-171.4,-200.41,-200.32,-56.51,-191.54,-69.66,92.35,-111.04,-49.01,-189.5,-171.14,-72.35,-45.43,-122.4,-165.79,-144.74,94.66,110.39,-45.32,-129.57,-82.3,1.09,-171.76
7,-25.64,-6.32,100.55,68.64,-61.42,-14.76,148.83,26.51,-19.84,-53.91,-48.22,5.49,-23.42,-79.3,54.54,131.96,-7.49,0.82,-3.4,-33.64,30.41,84.12,18.69,-92.69,152.79,-72.34,-84.26,-53.97,-81.98,-81.89,60.92,-73.11,47.77,181.78,-65.61,68.42,-72.07,-52.71,45.08,72.0,-4.97,-47.36,-27.31,213.09,228.82,72.11,-12.15,37.29,119.52,-17.24
8,-103.54,-61.93,22.64,-9.26,-139.32,-71.37,69.92,-52.39,-75.44,-132.81,-126.13,-72.41,-101.32,-157.2,-23.37,54.05,-85.4,-77.09,-59.01,-112.55,-48.49,6.22,-49.84,-170.6,97.19,-150.24,-162.16,-131.87,-159.88,-159.79,-16.98,-151.02,-30.13,103.88,-70.52,-9.48,-149.97,-130.61,-32.83,-5.9,-82.87,-125.27,-105.21,135.19,149.92,-5.79,-90.05,-18.31,40.62,-72.85
9,-183.59,-166.45,-57.41,-89.31,-218.37,-188.09,-9.13,-131.44,-193.17,-211.86,-206.18,-151.46,-180.38,-236.25,-103.42,-25.0,-165.45,-157.14,-176.73,-191.6,-127.55,-72.83,-139.26,-249.65,-19.54,-230.29,-241.21,-210.92,-239.93,-239.85,-97.03,-231.07,-73.19,51.82,-150.57,-88.53,-230.02,-210.66,-112.88,-84.96,-162.93,-205.32,-185.26,55.13,70.86,-84.84,-169.1,-122.83,-38.44,-189.57
10,-136.03,-118.88,-9.85,-41.75,-171.81,-140.53,38.43,-83.88,-145.6,-164.3,-158.61,-104.9,-133.81,-189.69,-55.86,22.56,-117.89,-109.58,-129.17,-144.04,-79.98,-25.27,-91.7,-203.09,27.03,-182.73,-194.65,-163.36,-192.37,-192.28,-49.47,-183.51,-62.62,71.39,-103.0,-41.97,-182.46,-163.1,-65.32,-38.39,-115.36,-157.75,-137.7,102.7,118.43,-37.28,-122.54,-75.27,9.13,-143.01
11,-131.55,-114.41,-5.37,-37.27,-166.33,-157.77,42.91,-79.41,-161.84,-159.82,-153.14,-99.42,-128.34,-184.21,-51.38,27.04,-113.41,-104.1,-146.4,-139.56,-75.51,-20.8,-87.22,-197.61,10.79,-177.25,-189.17,-158.88,-187.89,-187.81,-44.99,-179.03,-58.15,104.86,-98.53,-36.49,-176.98,-158.62,-59.84,-32.92,-109.89,-153.28,-132.22,107.17,122.9,-32.81,-117.06,-69.79,13.6,-159.24
12,92.11,152.49,218.29,186.39,56.33,143.05,243.77,121.45,138.97,62.83,47.72,101.44,72.52,38.45,172.28,249.7,110.25,118.56,155.41,61.3,147.15,201.86,163.57,25.05,311.6,45.41,33.49,63.78,35.77,34.85,156.87,43.63,165.51,643.52,102.33,186.17,45.68,65.04,161.27,189.74,115.01,48.58,68.64,646.83,323.76,168.06,105.6,196.1,236.26,141.57
