,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,342.09,367.6,414.28,334.37,306.32,318.17,477.59,371.29,314.09,303.82,233.36,410.9,381.99,281.44,372.65,481.69,350.24,342.02,329.53,349.91,388.14,407.85,349.69,266.04,317.72,371.39,273.47,304.77,373.75,373.84,405.7,284.62,350.5,330.51,210.61,332.15,371.66,305.02,401.26,535.73,327.12,221.3,213.15,377.82,544.74,416.89,345.59,400.22,468.25,316.69
1,364.65,390.16,437.83,357.93,329.87,340.72,479.15,393.84,336.65,326.37,234.91,411.46,382.54,304.99,395.2,504.24,372.79,365.57,353.08,350.46,410.69,430.4,390.24,288.59,340.27,355.95,297.03,327.32,358.31,357.39,428.26,307.17,373.05,354.06,233.16,354.7,356.21,327.57,424.81,536.28,349.68,222.85,214.7,419.37,529.3,440.44,369.14,423.77,490.8,339.24
2,322.36,347.87,394.55,315.64,287.59,298.44,446.86,351.56,294.36,311.09,202.63,379.17,351.26,262.7,352.92,488.96,330.51,323.29,310.8,319.18,368.41,388.12,330.96,246.31,297.99,313.66,254.74,285.04,343.02,342.11,385.97,264.89,330.77,311.78,190.88,312.42,313.93,285.29,381.53,504.0,307.39,190.57,182.42,358.09,487.01,398.16,326.86,381.49,448.52,296.96
3,346.9,372.41,420.08,340.18,312.12,323.97,527.4,376.09,318.89,308.62,283.16,459.7,379.79,287.24,377.45,486.49,355.04,347.82,335.33,347.71,392.94,412.65,355.49,270.84,322.52,338.19,279.28,309.57,340.56,339.64,410.51,289.42,356.3,336.31,216.41,336.95,338.46,309.82,407.06,501.53,331.92,271.1,262.95,382.62,511.54,422.69,351.39,406.02,473.05,321.49
4,257.65,282.16,329.83,249.93,221.87,233.72,433.15,285.85,228.65,218.38,188.92,339.46,310.55,196.99,288.21,396.24,265.8,257.58,245.09,278.47,302.7,322.41,265.25,180.59,232.28,247.95,189.03,219.32,250.31,250.4,321.26,200.17,266.06,246.07,126.17,246.71,248.22,220.58,316.82,431.29,241.68,176.85,168.71,292.38,588.3,332.45,261.14,315.78,382.81,232.24
5,354.89,380.4,428.07,348.17,320.11,330.96,535.39,384.09,326.89,316.62,291.16,467.7,387.79,295.23,385.45,494.48,363.04,355.82,343.33,355.71,400.94,420.65,363.49,278.83,330.52,346.19,287.27,317.56,348.55,347.64,418.5,297.41,363.3,344.31,223.41,344.95,346.46,317.82,415.06,509.53,339.92,279.09,270.95,390.62,519.54,430.69,359.38,414.02,481.05,329.48
6,387.32,411.83,459.51,379.6,351.55,363.4,510.82,415.52,358.32,348.05,266.59,443.13,414.22,326.66,417.88,525.92,395.47,387.25,374.76,383.14,433.37,452.08,394.92,310.27,361.95,377.62,318.7,348.99,379.98,380.07,450.93,329.84,395.73,375.74,255.84,376.38,377.89,350.25,446.49,567.96,371.35,254.53,246.38,423.05,550.97,462.12,390.81,445.45,513.48,361.92
7,334.38,359.89,407.56,327.66,299.6,310.45,495.88,363.58,306.38,296.11,251.65,428.19,399.28,274.72,364.94,473.97,342.53,335.31,322.82,367.2,380.43,400.14,342.98,258.32,310.01,325.68,266.76,297.05,328.04,327.13,397.99,276.9,342.79,323.8,202.9,324.44,325.95,297.31,394.55,553.02,319.41,239.58,231.44,370.11,499.03,410.18,338.87,393.51,460.54,308.97
8,343.58,369.09,415.77,335.86,307.81,319.66,510.08,372.78,315.58,305.31,265.85,442.39,414.48,282.93,374.14,483.18,351.73,343.51,331.02,382.4,389.63,409.34,351.18,267.53,318.21,333.88,274.96,306.26,336.24,336.33,407.19,286.11,351.99,332.0,212.1,333.64,334.15,306.51,402.75,567.22,328.61,253.79,245.64,379.31,507.23,418.38,347.08,401.71,469.74,318.18
9,346.36,371.87,418.54,338.64,310.58,322.43,474.86,374.55,317.35,308.08,230.62,407.17,379.25,285.7,376.91,485.95,354.5,346.28,333.79,347.17,392.4,411.11,353.95,269.3,320.98,368.66,277.74,308.03,371.02,371.1,409.97,288.88,354.76,334.77,246.87,335.42,368.93,309.29,405.52,532.99,331.39,218.56,210.41,382.08,542.01,421.15,349.85,404.48,472.51,320.95
10,247.1,272.61,320.28,240.38,212.32,223.17,441.6,276.29,219.09,208.82,202.36,328.91,279.99,187.44,277.65,386.69,255.24,248.02,235.53,247.91,293.14,312.85,255.69,171.04,222.72,238.4,179.48,209.77,240.76,239.84,310.71,189.62,255.5,236.51,115.61,237.16,238.67,210.03,307.26,421.73,232.12,190.3,182.15,282.82,411.74,322.89,251.59,306.22,373.25,221.69
11,316.3,341.81,388.48,308.58,280.52,292.37,495.8,345.5,288.3,278.03,252.56,378.11,349.19,255.64,346.86,455.89,324.44,316.22,304.74,317.11,362.34,382.06,324.9,240.24,291.93,306.6,247.68,278.97,308.96,309.05,379.91,258.82,324.7,304.71,184.81,306.36,306.87,279.23,375.46,469.94,301.33,239.5,232.36,352.02,479.95,391.1,319.79,374.43,442.46,290.89
12,436.13,461.64,508.31,428.41,400.35,412.2,567.63,465.33,408.13,397.86,324.4,500.94,469.03,375.47,466.69,575.72,444.28,436.06,424.57,436.95,482.18,501.89,444.73,360.07,411.76,426.43,367.51,398.8,428.79,428.88,499.74,378.65,444.54,424.55,304.65,426.19,426.7,399.06,495.3,625.77,421.16,311.33,304.19,471.86,599.78,510.93,439.62,494.26,562.29,410.72
13,-99.03,-26.7,-19.66,-74.3,-133.8,-76.13,57.44,-69.83,-80.21,-137.3,136.24,-37.22,-66.13,-158.69,-21.65,46.75,-84.7,-51.28,-63.77,-98.21,-52.98,-1.82,-43.61,-175.08,-64.67,-107.73,-166.65,-136.35,-105.37,-106.28,-35.42,-156.5,-59.17,-76.44,-246.68,-77.52,-107.46,-136.1,-38.86,55.61,-67.18,124.18,116.03,-30.13,47.58,-23.23,-94.53,6.92,33.32,-77.61
