,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,324.09,367.6,396.28,316.37,288.32,300.17,497.59,353.29,296.09,285.82,233.36,385.9,356.99,263.44,354.65,463.69,332.24,342.02,311.53,324.91,370.14,407.85,368.69,248.04,299.72,314.39,255.47,286.77,316.75,316.84,387.7,266.62,332.5,312.51,192.61,314.15,314.66,287.02,383.26,477.73,309.12,221.3,213.15,359.82,487.74,398.89,327.59,382.22,450.25,298.69
1,382.65,408.16,455.83,375.93,347.87,359.72,557.15,411.84,354.65,344.37,234.91,411.46,382.54,322.99,413.2,522.24,391.79,383.57,371.08,350.46,428.69,448.4,391.24,306.59,358.27,373.95,315.03,345.32,376.31,376.39,446.26,325.17,392.05,372.06,252.16,372.7,374.21,346.57,442.81,536.28,367.68,222.85,214.7,418.37,633.3,458.44,387.14,441.77,508.8,357.24
2,282.36,307.87,354.55,275.64,247.59,258.44,455.86,311.56,254.36,244.09,202.63,344.17,315.26,222.7,312.92,421.96,290.51,283.29,270.8,283.18,328.41,348.12,290.96,206.31,257.99,273.66,214.74,245.04,275.02,275.11,345.97,224.89,290.77,271.78,150.88,272.42,273.93,245.29,341.53,437.0,267.39,190.57,182.42,318.09,447.01,358.16,286.86,341.49,408.52,256.96
3,267.9,293.41,340.08,260.18,232.12,243.97,441.4,297.09,239.89,229.62,232.16,329.7,300.79,207.24,298.45,407.49,276.04,267.82,256.33,268.71,313.94,333.65,276.49,191.84,243.52,258.19,199.28,230.57,260.56,260.64,331.51,210.42,276.3,256.31,136.41,257.95,258.46,230.82,327.06,421.53,252.92,271.1,207.95,303.62,431.54,342.69,271.39,326.02,394.05,242.49
4,234.65,260.16,306.83,226.93,198.87,210.72,408.15,263.85,206.65,196.38,188.92,296.46,267.55,173.99,265.21,374.24,242.8,234.58,223.09,235.47,280.7,300.41,243.25,158.59,210.28,224.95,166.03,197.32,227.31,227.4,298.26,177.17,243.06,223.07,103.17,224.71,225.22,197.58,293.82,388.29,219.68,176.85,174.71,270.38,398.3,309.45,238.14,292.78,360.81,209.24
5,275.89,301.4,348.07,268.17,240.11,251.96,449.39,304.09,247.89,237.62,240.16,337.7,308.79,215.23,306.45,415.48,284.04,275.82,263.33,276.71,321.94,341.65,283.49,198.83,250.52,266.19,207.27,237.56,268.55,268.64,339.5,218.41,284.3,264.31,144.41,265.95,266.46,238.82,335.06,429.53,260.92,314.09,215.95,311.62,439.54,350.69,279.38,334.02,402.05,250.48
6,307.32,332.83,380.51,300.6,272.55,283.4,481.82,336.52,279.32,269.05,266.59,369.13,340.22,247.66,337.88,446.92,315.47,308.25,295.76,308.14,353.37,373.08,315.92,231.27,282.95,298.62,239.7,269.99,300.98,300.07,370.93,249.84,315.73,296.74,175.84,297.38,298.89,270.25,367.49,461.96,292.35,254.53,246.38,343.05,471.97,383.12,311.81,366.45,433.48,281.92
7,255.38,280.89,327.56,247.66,219.6,231.45,428.88,283.58,227.38,217.11,251.65,317.19,288.28,194.72,285.94,394.97,263.53,255.31,242.82,256.2,301.43,321.14,262.98,178.32,230.01,245.68,186.76,218.05,248.04,248.13,318.99,197.9,263.79,243.8,123.9,245.44,245.95,218.31,314.55,409.02,240.41,239.58,195.44,291.11,419.03,330.18,258.87,313.51,381.54,229.97
8,263.58,289.09,336.77,256.86,228.81,240.66,438.08,292.78,235.58,225.31,228.85,325.39,296.48,203.93,294.14,403.18,272.73,264.51,252.02,265.4,309.63,329.34,272.18,187.53,239.21,254.88,195.96,226.26,257.24,257.33,327.19,206.11,272.99,253.0,133.1,253.64,255.15,226.51,323.75,418.22,248.61,301.79,204.64,299.31,428.23,339.38,268.08,322.71,389.74,238.18
9,291.36,316.87,363.54,283.64,255.58,267.43,464.86,320.55,263.35,253.08,230.62,353.17,324.25,230.7,321.91,430.95,299.5,291.28,279.79,292.17,337.4,357.11,299.95,215.3,266.98,282.66,222.74,254.03,284.02,284.1,354.97,233.88,299.76,279.77,159.87,281.42,281.93,254.29,350.52,444.99,276.39,218.56,210.41,327.08,455.01,366.15,294.85,349.48,417.51,265.95
10,212.1,237.61,284.28,204.38,176.32,188.17,385.6,240.29,183.09,173.82,176.36,273.91,244.99,151.44,242.65,351.69,220.24,212.02,199.53,212.91,258.14,276.85,219.69,135.04,186.72,202.4,143.48,173.77,204.76,204.84,275.71,154.62,220.5,200.51,80.61,201.16,202.67,175.03,271.26,365.73,197.12,190.3,152.15,247.82,375.74,286.89,215.59,270.22,338.25,186.69
11,236.3,261.81,309.48,229.58,201.52,213.37,410.8,265.5,208.3,198.03,201.56,298.11,270.19,176.64,267.86,375.89,245.44,237.22,224.74,238.11,282.34,302.06,244.9,160.24,211.93,227.6,168.68,198.97,229.96,230.05,300.91,178.82,245.7,225.71,105.81,226.36,227.87,200.23,296.46,390.94,221.33,274.5,177.36,272.02,400.95,312.1,240.79,295.43,362.46,211.89
12,356.13,381.64,429.31,349.41,321.35,333.2,530.63,385.33,328.13,317.86,324.4,417.94,390.03,296.47,387.69,495.72,365.28,357.06,344.57,357.95,402.18,421.89,401.73,280.07,331.76,347.43,288.51,318.8,349.79,349.88,420.74,298.65,365.54,345.55,225.65,346.19,347.7,320.06,416.3,510.77,341.16,311.33,297.19,391.86,520.78,431.93,360.62,415.26,482.29,331.72
13,-154.03,-81.7,-75.66,-130.3,-189.8,-131.13,1.44,-124.83,-135.21,-192.3,-189.76,-92.22,-121.13,-214.69,-76.65,-8.25,-139.7,-107.28,-119.77,-153.21,-107.98,-56.82,-99.61,-230.08,-119.67,-163.73,-222.65,-191.35,-161.37,-161.28,-90.42,-211.5,-114.17,-132.44,-301.68,-132.52,-163.46,-191.1,-94.86,-0.39,-122.18,-115.82,-213.97,-85.13,-8.42,-79.23,-150.53,-49.08,-21.68,-132.61
14,270.62,296.13,342.8,263.9,235.84,246.69,445.12,299.82,242.62,232.35,234.89,332.43,303.52,210.96,301.18,410.21,278.76,271.55,259.06,271.44,316.67,336.38,279.22,194.56,246.25,261.92,203.0,233.29,264.28,263.37,334.23,213.14,279.03,260.04,139.14,260.68,262.19,233.55,330.79,425.26,255.65,273.82,211.68,306.35,435.27,346.42,275.11,329.75,396.78,245.21
