0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1407.06,1541.43,1516.03,1475.39,1440.2,1595.93,1379.13,1371.5,1562.53,1455.29,1353.49,1378.59,1382.51,1440.43,1537.04,1480.19,1441.12,1530.22,1576.64,1362.03,1406.8,1543.92,1549.9,1436.68,1567.96,1464.6,1446.24,1449.75,1448.24,1448.16,1387.09,1449.1,1492.27,1567.3,1470.61,1512.61,1465.34,1435.97,1414.94,1442.86,1546.83,1298.75,1247.66,1544.99,1410.28,1391.9,1421.36,1551.52,1507.84,1531.99
1389.65,1524.01,1498.62,1457.98,1422.79,1578.52,1361.72,1354.09,1545.12,1437.88,1336.08,1361.18,1365.1,1423.02,1519.63,1462.78,1423.71,1512.81,1559.23,1344.62,1389.39,1526.5,1532.49,1419.26,1550.55,1447.19,1428.82,1432.34,1430.83,1430.75,1369.68,1431.68,1474.85,1549.89,1453.19,1495.2,1447.92,1418.55,1397.52,1425.45,1529.41,1281.34,1230.24,1527.58,1392.87,1374.49,1403.94,1534.11,1490.43,1514.58
1395.52,1529.89,1504.49,1463.85,1428.66,1584.39,1367.59,1359.96,1550.99,1443.75,1341.95,1367.05,1370.97,1428.89,1525.5,1468.65,1429.58,1518.68,1565.1,1350.49,1395.26,1532.37,1538.36,1425.13,1556.42,1453.06,1434.7,1438.21,1436.7,1436.62,1375.55,1437.55,1480.72,1555.76,1459.07,1501.07,1453.79,1424.42,1403.4,1431.32,1535.28,1287.21,1236.11,1533.45,1398.74,1380.36,1409.82,1539.98,1496.3,1520.45
1381.49,1515.86,1490.46,1449.82,1414.63,1570.36,1353.57,1345.93,1536.96,1429.73,1327.92,1353.03,1356.94,1414.87,1511.47,1454.62,1415.55,1504.65,1551.07,1336.47,1381.24,1518.35,1524.33,1411.11,1542.39,1439.04,1420.67,1424.18,1422.68,1422.59,1361.52,1423.53,1466.7,1541.73,1445.04,1487.05,1439.77,1410.4,1389.37,1417.3,1521.26,1273.18,1222.09,1519.42,1384.72,1366.33,1395.79,1525.95,1482.28,1506.43
1404.36,1538.73,1513.33,1472.69,1437.5,1593.23,1376.43,1368.8,1559.83,1452.59,1350.43,1375.89,1379.81,1437.73,1534.34,1477.49,1438.42,1527.52,1573.94,1359.33,1404.1,1541.21,1547.2,1433.98,1565.26,1461.91,1443.54,1447.05,1445.55,1445.46,1384.39,1446.4,1489.57,1564.6,1467.91,1509.91,1462.64,1433.27,1412.24,1439.81,1544.13,1296.05,1244.95,1542.29,1407.58,1389.2,1418.66,1548.82,1505.15,1529.3
1386.53,1520.9,1495.5,1454.86,1419.67,1575.4,1358.6,1350.97,1542.0,1434.76,1332.96,1358.06,1361.98,1419.9,1516.51,1459.66,1420.59,1509.69,1556.11,1341.5,1386.27,1523.38,1529.37,1416.14,1547.43,1444.07,1425.71,1429.22,1427.71,1427.63,1366.56,1428.56,1471.73,1546.77,1450.08,1492.08,1444.8,1415.43,1394.41,1422.33,1526.29,1278.22,1227.12,1524.46,1389.75,1371.37,1400.83,1530.99,1487.31,1511.46
1376.33,1510.7,1485.3,1444.66,1409.47,1565.2,1348.4,1340.77,1531.8,1424.56,1322.76,1347.86,1351.78,1409.7,1506.31,1449.46,1410.39,1499.49,1545.91,1331.3,1376.07,1513.19,1519.17,1405.95,1537.23,1433.88,1415.51,1419.02,1417.52,1417.43,1356.36,1418.37,1461.54,1536.57,1439.88,1481.88,1434.61,1405.24,1384.21,1412.13,1516.1,1268.02,1216.93,1514.26,1379.55,1361.17,1390.63,1520.79,1477.11,1501.27
1386.04,1520.41,1495.01,1454.37,1419.18,1574.91,1358.11,1350.48,1541.51,1434.27,1332.47,1357.57,1361.49,1419.41,1516.02,1459.17,1420.1,1509.2,1555.62,1341.01,1385.78,1522.89,1528.88,1415.65,1546.94,1443.58,1425.22,1428.73,1427.22,1427.14,1366.07,1428.07,1471.24,1546.28,1449.59,1491.59,1444.31,1414.94,1393.92,1421.84,1525.8,1277.73,1226.63,1523.97,1389.26,1370.88,1400.34,1530.5,1486.82,1510.97
1401.08,1535.45,1513.48,1477.73,1434.22,1589.95,1381.47,1365.52,1556.55,1449.31,1345.39,1372.61,1376.53,1442.78,1539.38,1474.21,1443.46,1532.56,1570.66,1356.05,1400.82,1546.26,1543.92,1439.02,1570.3,1466.95,1448.58,1443.77,1450.59,1450.5,1381.11,1451.44,1494.61,1569.64,1472.95,1514.95,1467.68,1438.31,1408.96,1434.77,1540.85,1292.77,1241.68,1547.33,1412.63,1385.92,1415.38,1545.54,1501.86,1534.34
1407.09,1541.46,1516.06,1475.42,1440.23,1595.96,1379.17,1371.53,1562.56,1455.32,1353.52,1378.63,1382.54,1440.46,1537.07,1480.22,1441.15,1530.25,1576.67,1362.06,1406.83,1543.95,1549.93,1436.71,1567.99,1464.64,1446.27,1449.78,1448.28,1448.19,1387.12,1449.13,1492.3,1567.33,1470.64,1512.65,1465.37,1436.0,1414.97,1442.9,1546.86,1298.78,1247.69,1545.02,1410.31,1391.93,1421.39,1551.55,1507.88,1532.03
