0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1422.91,1497.76,1339.72,1298.63,1388.68,1471.12,1181.44,1394.76,1430.19,1401.18,1424.49,1396.77,1400.69,1318.56,1360.73,1369.31,1292.76,1353.45,1448.75,1370.91,1415.86,1367.15,1429.57,1345.96,1408.56,1399.61,1355.53,1398.23,1383.25,1383.16,1410.34,1358.38,1315.5,1248.49,1350.88,1335.85,1400.34,1324.98,1438.19,1502.27,1390.24,1307.63,1343.58,1226.18,1162.45,1415.16,1430.41,1481.14,1352.75,1372.6
1591.82,1664.64,1508.63,1467.54,1557.59,1603.07,1350.35,1563.67,1562.15,1570.09,1593.4,1565.68,1569.6,1487.47,1529.64,1538.22,1461.67,1522.36,1580.71,1539.82,1584.77,1536.06,1598.48,1514.87,1540.52,1568.52,1524.44,1567.15,1552.16,1552.07,1579.26,1527.29,1484.41,1417.4,1519.79,1504.76,1569.25,1493.89,1607.1,1671.18,1559.15,1476.54,1512.49,1395.09,1331.36,1584.07,1599.32,1648.02,1521.66,1504.55
1481.83,1556.69,1398.65,1357.55,1447.61,1530.04,1240.37,1453.68,1489.12,1460.1,1483.42,1455.7,1459.61,1377.49,1419.66,1428.24,1351.69,1412.38,1507.68,1429.84,1474.79,1426.07,1488.5,1404.89,1467.49,1458.53,1414.45,1457.16,1442.17,1442.09,1469.27,1417.31,1374.43,1307.42,1409.81,1394.77,1459.26,1383.9,1497.12,1561.2,1449.17,1366.56,1402.5,1285.11,1221.38,1474.08,1489.34,1540.07,1411.68,1431.52
1517.79,1592.64,1434.6,1393.51,1483.56,1553.49,1276.32,1489.64,1512.57,1496.06,1519.37,1491.65,1495.57,1413.44,1455.61,1464.19,1387.64,1448.33,1531.13,1465.79,1510.74,1462.03,1524.45,1440.84,1490.94,1494.48,1450.41,1493.11,1478.13,1478.04,1505.22,1453.26,1410.38,1343.37,1445.76,1430.73,1495.22,1419.86,1533.07,1597.15,1485.12,1402.51,1438.45,1321.06,1257.33,1510.04,1525.29,1576.02,1447.63,1454.97
1511.84,1561.63,1428.65,1387.56,1477.61,1500.07,1270.37,1483.69,1459.15,1490.11,1513.42,1485.7,1489.62,1407.5,1449.67,1458.24,1381.69,1442.38,1477.71,1459.84,1504.79,1456.08,1508.55,1434.9,1437.52,1488.54,1444.46,1487.17,1472.18,1472.09,1499.28,1447.31,1404.43,1337.42,1439.81,1424.78,1489.27,1413.91,1527.12,1591.2,1479.17,1396.56,1432.51,1315.11,1251.38,1504.09,1519.34,1545.02,1441.68,1401.55
1443.4,1518.26,1360.22,1319.12,1409.18,1491.62,1201.94,1415.26,1450.69,1421.68,1444.99,1417.27,1421.19,1339.06,1381.23,1389.81,1313.26,1373.95,1469.25,1391.41,1436.36,1387.65,1450.07,1366.46,1429.06,1420.1,1376.02,1418.73,1403.74,1403.66,1430.84,1378.88,1336.0,1268.99,1371.38,1356.34,1420.83,1345.47,1458.69,1522.77,1410.74,1328.13,1364.07,1246.68,1182.95,1435.66,1450.91,1501.64,1373.25,1393.1
1458.07,1532.92,1374.88,1333.79,1423.84,1506.28,1216.6,1429.92,1465.35,1436.34,1459.65,1431.93,1435.85,1353.72,1395.89,1404.47,1327.92,1388.61,1483.91,1406.07,1451.02,1402.31,1464.73,1381.12,1443.72,1434.77,1390.69,1433.4,1418.41,1418.32,1445.51,1393.54,1350.66,1283.65,1386.04,1371.01,1435.5,1360.14,1473.35,1537.43,1425.4,1342.79,1378.74,1261.34,1197.61,1450.32,1465.57,1516.3,1387.91,1407.76
1255.64,1328.32,1172.45,1131.36,1221.42,1266.76,1014.17,1227.49,1225.84,1233.91,1257.22,1229.51,1233.42,1151.3,1193.46,1202.04,1125.49,1186.18,1244.4,1203.64,1248.59,1199.88,1262.31,1178.69,1204.21,1232.34,1188.26,1230.97,1215.98,1215.89,1243.08,1191.11,1148.23,1081.22,1183.61,1168.58,1233.07,1157.71,1270.92,1335.0,1222.97,1140.36,1176.31,1058.91,995.18,1247.89,1263.15,1311.71,1185.48,1168.24
1511.54,1561.93,1428.36,1387.26,1477.32,1500.37,1270.08,1483.39,1459.44,1489.81,1513.13,1485.41,1489.32,1407.2,1449.37,1457.95,1381.4,1442.09,1478.01,1459.55,1504.49,1455.78,1508.84,1434.6,1437.81,1488.24,1444.16,1486.87,1471.88,1471.79,1498.98,1447.02,1404.13,1337.12,1439.52,1424.48,1488.97,1413.61,1526.83,1590.9,1478.87,1396.27,1432.21,1314.81,1251.08,1503.79,1519.05,1545.31,1441.38,1401.85
1402.59,1477.45,1319.41,1278.31,1368.37,1429.09,1161.13,1374.44,1388.17,1380.86,1404.18,1376.46,1380.38,1298.25,1340.42,1349.0,1272.45,1333.14,1406.73,1350.6,1395.55,1346.83,1409.26,1325.65,1366.54,1379.29,1335.21,1377.92,1362.93,1362.85,1390.03,1338.07,1295.19,1228.18,1330.57,1315.53,1380.02,1304.66,1417.88,1481.96,1369.93,1287.32,1323.26,1205.87,1142.14,1394.84,1410.1,1460.83,1332.44,1330.57
1426.03,1500.88,1342.85,1301.75,1391.81,1452.53,1184.57,1397.88,1411.6,1404.3,1427.61,1399.9,1403.81,1321.69,1363.86,1372.44,1295.89,1356.58,1430.17,1374.04,1418.98,1370.27,1432.7,1349.09,1389.97,1402.73,1358.65,1401.36,1386.37,1386.28,1413.47,1361.51,1318.62,1251.61,1354.0,1338.97,1403.46,1328.1,1441.32,1505.39,1393.36,1310.75,1346.7,1229.3,1165.57,1418.28,1433.54,1484.27,1355.87,1354.01
1441.55,1516.41,1358.37,1317.27,1407.33,1489.77,1200.09,1413.41,1448.84,1419.82,1443.14,1415.42,1419.34,1337.21,1379.38,1387.96,1311.41,1372.1,1467.4,1389.56,1434.51,1385.8,1448.22,1364.61,1427.21,1418.25,1374.17,1416.88,1401.89,1401.81,1428.99,1377.03,1334.15,1267.14,1369.53,1354.49,1418.98,1343.62,1456.84,1520.92,1408.89,1326.28,1362.22,1244.83,1181.1,1433.81,1449.06,1499.79,1371.4,1391.24
1525.89,1557.51,1442.71,1401.61,1491.67,1495.95,1306.23,1519.55,1455.03,1504.17,1549.28,1521.56,1525.48,1421.55,1463.72,1472.3,1395.75,1456.44,1473.59,1495.7,1518.85,1470.14,1504.43,1448.95,1433.4,1502.59,1458.51,1501.22,1486.23,1486.15,1535.13,1461.37,1418.49,1351.48,1475.67,1438.83,1503.32,1427.96,1542.73,1605.26,1490.99,1432.42,1468.36,1329.17,1287.24,1539.94,1533.4,1540.9,1455.74,1397.43
1437.38,1512.24,1354.2,1313.1,1403.16,1485.59,1195.92,1409.23,1444.67,1415.65,1438.97,1411.25,1415.17,1333.04,1375.21,1383.79,1307.24,1367.93,1463.23,1385.39,1430.34,1381.63,1444.05,1360.44,1423.04,1414.08,1370.0,1412.71,1397.72,1397.64,1424.82,1372.86,1329.98,1262.97,1365.36,1350.32,1414.81,1339.45,1452.67,1516.75,1404.72,1322.11,1358.05,1240.66,1176.93,1429.64,1444.89,1495.62,1367.23,1387.07
1393.55,1425.17,1310.36,1269.27,1359.32,1363.6,1163.41,1376.72,1322.68,1371.82,1406.46,1378.74,1382.66,1289.2,1331.37,1339.95,1263.4,1324.09,1341.24,1352.88,1386.5,1337.79,1372.08,1316.6,1301.05,1370.25,1326.17,1368.88,1353.89,1353.8,1392.31,1329.02,1286.14,1219.13,1332.85,1306.49,1370.98,1295.62,1410.38,1472.91,1358.65,1289.6,1325.54,1196.82,1144.42,1397.12,1401.05,1408.55,1323.39,1265.08
1425.94,1500.8,1342.76,1301.66,1391.72,1474.16,1184.48,1397.8,1433.23,1404.21,1427.53,1399.81,1403.73,1321.6,1363.77,1372.35,1295.8,1356.49,1451.79,1373.95,1418.9,1370.19,1432.61,1349.0,1411.6,1402.64,1358.56,1401.27,1386.28,1386.2,1413.38,1361.42,1318.54,1251.53,1353.92,1338.89,1403.38,1328.02,1441.23,1505.31,1393.28,1310.67,1346.61,1229.22,1165.49,1418.2,1433.45,1484.18,1355.79,1375.64
1527.49,1602.35,1444.31,1403.21,1493.27,1559.37,1286.03,1499.35,1518.44,1505.77,1529.08,1501.36,1505.28,1423.15,1465.32,1473.9,1397.35,1458.04,1537.01,1475.5,1520.45,1471.74,1534.16,1450.55,1496.81,1504.19,1460.11,1502.82,1487.83,1487.75,1514.93,1462.97,1420.09,1353.08,1455.47,1440.44,1504.93,1429.56,1542.78,1606.86,1494.83,1412.22,1448.16,1330.77,1267.04,1519.75,1535.0,1585.73,1457.34,1460.85
1429.99,1504.85,1346.81,1305.71,1395.77,1456.5,1188.53,1401.85,1415.57,1408.27,1431.58,1403.86,1407.78,1325.65,1367.82,1376.4,1299.85,1360.54,1434.13,1378.0,1422.95,1374.24,1436.66,1353.05,1393.94,1406.69,1362.61,1405.32,1390.33,1390.25,1417.43,1365.47,1322.59,1255.58,1357.97,1342.94,1407.43,1332.07,1445.28,1509.36,1397.33,1314.72,1350.67,1233.27,1169.54,1422.25,1437.5,1488.23,1359.84,1357.98
1427.11,1501.96,1343.93,1302.83,1392.89,1453.61,1185.65,1398.96,1412.68,1405.38,1428.69,1400.98,1404.89,1322.77,1364.94,1373.52,1296.96,1357.66,1431.24,1375.11,1420.06,1371.35,1433.78,1350.17,1391.05,1403.81,1359.73,1402.44,1387.45,1387.36,1414.55,1362.59,1319.7,1252.69,1355.08,1340.05,1404.54,1329.18,1442.4,1506.47,1394.44,1311.83,1347.78,1230.38,1166.65,1419.36,1434.62,1485.35,1356.95,1355.09
1321.24,1396.1,1238.06,1196.96,1287.02,1347.74,1079.78,1293.09,1306.82,1299.51,1322.83,1295.11,1299.03,1216.9,1259.07,1267.65,1191.1,1251.79,1325.38,1269.25,1314.2,1265.48,1327.91,1244.3,1285.19,1297.94,1253.86,1296.57,1281.58,1281.5,1308.68,1256.72,1213.84,1146.83,1249.22,1234.18,1298.67,1223.31,1336.53,1400.61,1288.57,1205.97,1241.91,1124.52,1060.79,1313.49,1328.75,1379.48,1251.08,1249.22
1589.29,1662.11,1506.1,1465.01,1555.07,1600.55,1347.82,1561.14,1559.62,1567.56,1590.87,1563.16,1567.07,1484.95,1527.12,1535.69,1459.15,1519.83,1578.18,1537.3,1582.24,1533.53,1595.96,1512.35,1537.99,1565.99,1521.91,1564.62,1549.63,1549.54,1576.73,1524.77,1481.88,1414.87,1517.26,1502.23,1566.72,1491.36,1604.57,1668.65,1556.62,1474.01,1509.96,1392.56,1328.83,1581.54,1596.8,1645.49,1519.13,1502.03
1389.51,1464.36,1306.33,1265.23,1355.29,1437.72,1148.05,1361.36,1396.8,1367.78,1391.1,1363.38,1367.29,1285.17,1327.34,1335.92,1259.37,1320.06,1415.36,1337.52,1382.46,1333.75,1396.18,1312.57,1375.17,1366.21,1322.13,1364.84,1349.85,1349.77,1376.95,1324.99,1282.1,1215.09,1317.49,1302.45,1366.94,1291.58,1404.8,1468.88,1356.84,1274.24,1310.18,1192.79,1129.06,1381.76,1397.02,1447.75,1319.35,1339.2
1457.15,1532.01,1373.97,1332.87,1422.93,1505.36,1215.69,1429.01,1464.44,1435.42,1458.74,1431.02,1434.94,1352.81,1394.98,1403.56,1327.01,1387.7,1483.0,1405.16,1450.11,1401.4,1463.82,1380.21,1442.81,1433.85,1389.77,1432.48,1417.49,1417.41,1444.59,1392.63,1349.75,1282.74,1385.13,1370.09,1434.58,1359.22,1472.44,1536.52,1424.49,1341.88,1377.82,1260.43,1196.7,1449.41,1464.66,1515.39,1387.0,1406.84
1382.42,1457.27,1299.23,1258.14,1348.19,1430.63,1140.95,1354.27,1389.7,1360.69,1384.0,1356.28,1360.2,1278.07,1320.24,1328.82,1252.27,1312.96,1408.26,1330.42,1375.37,1326.66,1389.08,1305.47,1368.07,1359.11,1315.04,1357.74,1342.76,1342.67,1369.85,1317.89,1275.01,1208.0,1310.39,1295.36,1359.85,1284.49,1397.7,1461.78,1349.75,1267.14,1303.08,1185.69,1121.96,1374.67,1389.92,1440.65,1312.26,1332.11
1428.64,1503.49,1345.46,1304.36,1394.42,1476.85,1187.18,1400.49,1435.93,1406.91,1430.23,1402.51,1406.42,1324.3,1366.47,1375.05,1298.5,1359.19,1454.49,1376.65,1421.59,1372.88,1435.31,1351.7,1414.3,1405.34,1361.26,1403.97,1388.98,1388.9,1416.08,1364.12,1321.23,1254.22,1356.62,1341.58,1406.07,1330.71,1443.93,1508.01,1395.97,1313.37,1349.31,1231.92,1168.19,1420.89,1436.15,1486.88,1358.48,1378.33
