0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1464.91,1464.4,1381.72,1340.63,1430.68,1402.83,1339.41,1459.71,1361.91,1443.18,1647.64,1497.1,1501.01,1360.56,1383.35,1411.31,1334.76,1376.98,1380.47,1492.09,1457.86,1409.15,1411.31,1387.96,1340.28,1441.61,1397.53,1440.23,1425.25,1425.16,1475.3,1400.38,1357.5,1290.49,1508.39,1377.85,1442.34,1366.98,1481.74,1544.27,1397.88,1543.7,1607.85,1268.18,1308.26,1480.11,1472.41,1447.78,1394.75,1304.31
1437.35,1436.84,1354.17,1313.07,1403.13,1375.28,1311.85,1432.16,1334.35,1415.63,1620.09,1469.54,1473.46,1333.01,1355.8,1383.76,1307.21,1349.43,1352.92,1464.54,1430.31,1381.6,1383.76,1360.41,1312.73,1414.05,1369.97,1412.68,1397.69,1397.61,1447.74,1372.83,1329.95,1262.94,1480.84,1350.3,1414.79,1339.43,1454.19,1516.72,1370.32,1516.15,1580.3,1240.63,1280.7,1452.56,1444.86,1420.23,1367.2,1276.76
1476.64,1476.13,1393.45,1352.36,1442.41,1414.56,1351.14,1471.44,1373.64,1454.91,1659.37,1508.83,1512.74,1372.3,1395.08,1423.04,1346.49,1388.71,1392.2,1503.82,1469.59,1420.88,1423.04,1399.69,1352.01,1453.34,1409.26,1451.96,1436.98,1436.89,1487.03,1412.11,1369.23,1302.22,1520.12,1389.58,1454.07,1378.71,1493.47,1556.0,1409.61,1555.43,1619.58,1279.91,1319.99,1491.84,1484.14,1459.51,1406.48,1316.04
1467.1,1466.59,1383.92,1342.82,1432.88,1405.03,1341.6,1461.91,1364.11,1445.38,1649.84,1499.3,1503.21,1362.76,1385.55,1413.51,1336.96,1379.18,1382.67,1494.29,1460.06,1411.35,1413.51,1390.16,1342.48,1443.81,1399.72,1442.43,1427.44,1427.36,1477.49,1402.58,1359.7,1292.69,1510.59,1380.05,1444.54,1369.18,1483.94,1546.47,1400.08,1545.9,1610.05,1270.38,1310.46,1482.31,1474.61,1449.98,1396.95,1306.51
1517.35,1516.84,1434.17,1393.07,1483.13,1455.28,1391.85,1512.15,1414.35,1495.62,1700.08,1549.54,1553.45,1413.01,1435.79,1463.76,1387.2,1429.42,1432.91,1544.53,1510.3,1461.59,1463.75,1440.41,1392.72,1494.05,1449.97,1492.68,1477.69,1477.6,1527.74,1452.83,1409.94,1342.93,1560.83,1430.29,1494.78,1419.42,1534.18,1596.71,1450.32,1596.15,1660.29,1320.62,1360.7,1532.55,1524.86,1500.22,1447.19,1356.76
1473.11,1472.6,1389.93,1348.83,1438.89,1411.04,1347.61,1467.91,1370.11,1451.38,1655.84,1505.3,1509.21,1368.77,1391.55,1419.52,1342.96,1385.18,1388.67,1500.29,1466.06,1417.35,1419.51,1396.17,1348.48,1449.81,1405.73,1448.44,1433.45,1433.36,1483.5,1408.59,1365.7,1298.69,1516.59,1386.05,1450.54,1375.18,1489.94,1552.47,1406.08,1551.91,1616.05,1276.38,1316.46,1488.31,1480.62,1455.98,1402.95,1312.52
1482.68,1482.17,1399.49,1358.4,1448.45,1420.6,1357.18,1477.48,1379.68,1460.95,1665.41,1514.87,1518.78,1378.34,1401.12,1429.08,1352.53,1394.75,1398.24,1509.86,1475.63,1426.92,1429.08,1405.73,1358.05,1459.38,1415.3,1458.01,1443.02,1442.93,1493.07,1418.16,1375.27,1308.26,1526.16,1395.62,1460.11,1384.75,1499.51,1562.04,1415.65,1561.47,1625.62,1285.95,1326.03,1497.88,1490.19,1465.55,1412.52,1322.08
1480.62,1480.11,1397.44,1356.34,1446.4,1418.55,1355.12,1475.42,1377.62,1458.89,1663.35,1512.81,1516.72,1376.28,1399.06,1427.03,1350.47,1392.69,1396.18,1507.8,1473.57,1424.86,1427.02,1403.68,1355.99,1457.32,1413.24,1455.95,1440.96,1440.87,1491.01,1416.1,1373.21,1306.2,1524.1,1393.56,1458.05,1382.69,1497.45,1559.98,1413.59,1559.42,1623.56,1283.89,1323.97,1495.82,1488.13,1463.49,1410.46,1320.03
1503.42,1502.91,1420.23,1379.14,1469.19,1441.34,1377.92,1498.22,1400.42,1481.69,1686.15,1535.61,1539.52,1399.07,1421.86,1449.82,1373.27,1415.49,1418.98,1530.6,1496.37,1447.66,1449.82,1426.47,1378.79,1480.12,1436.04,1478.74,1463.76,1463.67,1513.81,1438.89,1396.01,1329.0,1546.9,1416.36,1480.85,1405.49,1520.25,1582.78,1436.39,1582.21,1646.36,1306.69,1346.77,1518.62,1510.92,1486.29,1433.26,1342.82
1470.64,1470.13,1387.46,1346.36,1436.42,1408.57,1345.14,1465.45,1367.65,1448.92,1653.38,1502.83,1506.75,1366.3,1389.09,1417.05,1340.5,1382.72,1386.21,1497.83,1463.6,1414.89,1417.05,1393.7,1346.02,1447.34,1403.26,1445.97,1430.98,1430.9,1481.03,1406.12,1363.24,1296.23,1514.13,1383.58,1448.07,1372.71,1487.48,1550.01,1403.61,1549.44,1613.59,1273.92,1313.99,1485.85,1478.15,1453.52,1400.49,1310.05
